primary_id,person_id,person_name,born_year,died_year,gender
A000001:1,A000001,金總持,,,男
A000001:2,A000001,金揔持,,,男
A000001:3,A000001,寶輪大師,,,男
A000001:4,A000001,明因妙善普濟法師,,,男
A000002:1,A000002,[諔-又]震,,,男
A000002:2,A000002,仁山[諔-又]震,,,男
A000002:3,A000002,仁山大師,,,男
A000002:4,A000002,寂震,,,男
A000003:1,A000003,鬱楞迦,,,男
A000004:1,A000004,畺良耶舍,383,442,男
A000004:2,A000004,Kālayaśas,383,442,男
A000004:3,A000004,時稱,383,442,男
A000005:1,A000005,鑑堂一,,,男
A000005:2,A000005,鑑堂,,,男
A000006:1,A000006,一山国師,1247,1317,男
A000006:2,A000006,一寧,1247,1317,男
A000006:3,A000006,Issan Ichinei,1247,1317,男
A000006:4,A000006,一山一寧,1247,1317,男
A000006:5,A000006,妙慈弘濟,1247,1317,男
A000006:6,A000006,一山寧,1247,1317,男
A000006:7,A000006,いっさんいちねい,1247,1317,男
A000007:1,A000007,一如,1352,1425,男
A000007:2,A000007,一菴,1352,1425,男
A000007:3,A000007,退翁,1352,1425,男
A000007:4,A000007,天竺如,1352,1425,男
A000007:5,A000007,一菴如,1352,1425,男
A000007:6,A000007,如一菴,1352,1425,男
A000008:1,A000008,一行,683,727,男
A000008:2,A000008,釋一行,683,727,男
A000008:3,A000008,張遂,683,727,男
A000008:4,A000008,大慧禪師,683,727,男
A000008:5,A000008,天師,683,727,男
A000008:6,A000008,張璲,683,727,男
A000008:7,A000008,張敬賢,683,727,男
A000008:8,A000008,嵩陽一行,683,727,男
A000009:1,A000009,一志,,,男
A000010:1,A000010,一見,,,男
A000011:1,A000011,一念居士,,,男
A000011:2,A000011,淥田一念,,,男
A000012:1,A000012,一松,,,男
A000012:2,A000012,一松大師,,,男
A000012:3,A000012,松師,,,男
A000013:1,A000013,一真,,,男
A000014:1,A000014,一然,,,男
A000015:1,A000015,一絲文守,1608,1646,男
A000015:2,A000015,いっしぶんしゅ,1608,1646,男
A000015:3,A000015,定慧明光佛頂國師,1608,1646,男
A000017:1,A000017,丁元公,,,男
A000018:1,A000018,九師,,,男
A000019:1,A000019,了元,,,男
A000020:1,A000020,了心,,,男
A000021:1,A000021,了因,,,男
A000022:1,A000022,了見,,,男
A000023:1,A000023,了亮,,,男
A000024:1,A000024,了南,,,男
A000025:1,A000025,了垠,,,男
A000026:1,A000026,了貞,1729,1785,男
A000026:2,A000026,高旻了貞,1729,1785,男
A000026:3,A000026,昭月了貞,1729,1785,男
A000026:4,A000026,昭月,1729,1785,男
A000027:1,A000027,了悟,,,男
A000027:2,A000027,靈隱了悟,,,男
A000027:3,A000027,笑菴悟,,,男
A000027:4,A000027,咲菴悟,,,男
A000027:5,A000027,笑庵悟,,,男
A000027:6,A000027,笑庵了悟,,,男
A000028:1,A000028,了根,,,男
A000028:2,A000028,雪舩,,,男
A000028:3,A000028,謹庵了根,,,男
A000029:1,A000029,了真,,,男
A000030:1,A000030,了翁,,,男
A000031:1,A000031,了能,,,男
A000032:1,A000032,了尊,,,男
A000033:1,A000033,了慧,,,男
A000033:2,A000033,了惠,,,男
A000034:1,A000034,了慧道光,,,男
A000034:2,A000034,了慧,,,男
A000034:3,A000034,了惠道光,,,男
A000035:1,A000035,了然,1077,1141,男
A000035:2,A000035,志涌,1077,1141,男
A000035:3,A000035,虎溪尊者,1077,1141,男
A000035:4,A000035,智涌,1077,1141,男
A000035:5,A000035,智湧,1077,1141,男
A000035:6,A000035,了然律師,1077,1141,男
A000035:7,A000035,智涌了然,1077,1141,男
A000036:1,A000036,了童,,,男
A000036:2,A000036,古靈了童,,,男
A000037:1,A000037,了舜,,,男
A000038:1,A000038,了圓,,,男
A000039:1,A000039,了廣,,,男
A000040:1,A000040,了禪,,,男
A000041:1,A000041,了覺,,,男
A000042:1,A000042,了譽聖冏,,,男
A000043:1,A000043,八思拔,,,男
A000044:1,A000044,三昧蘇嚩羅,,,男
A000045:1,A000045,三寶尊,,,男
A000046:1,A000046,上思,1630,1688,男
A000046:2,A000046,雪悟,1630,1688,男
A000046:3,A000046,雨山思,1630,1688,男
A000046:4,A000046,雨山上思,1630,1688,男
A000046:5,A000046,雪悟思,1630,1688,男
A000047:1,A000047,于頔,719,818,男
A000047:2,A000047,于允元,719,818,男
A000047:3,A000047,厲,719,818,男
A000047:4,A000047,思,719,818,男
A000048:1,A000048,士洵,,,男
A000049:1,A000049,士慘,,,男
A000050:1,A000050,士衡,,,男
A000051:1,A000051,大文,,,男
A000052:1,A000052,大玄,,,男
A000053:1,A000053,目犍連,,,男
A000053:2,A000053,Mahāmoggallāna,,,男
A000053:3,A000053,Maudgalyāyana,,,男
A000053:4,A000053,目連,,,男
A000053:5,A000053,摩訶目揵連,,,男
A000053:6,A000053,天抱,,,男
