c_addr_id,c_addr_cbd,c_name,c_name_chn,c_admin_type,c_firstyear,c_lastyear,x_coord,y_coord,belongs1_ID,belongs1_Name,belongs2_ID,belongs2_Name,belongs3_ID,belongs3_Name,belongs4_ID,belongs4_Name,belongs5_ID,belongs5_Name
-1,,"[Missing Data]","[信息缺乏]",[Unknown],,,,,,,,,,,,,,
0,,[Unknown],"[未詳]",[Unknown],,,,,,,,,,,,,,
1,,"People's Republic of China","中華人民共和國",PRC,1949,2005,,,,,,,,,,,,
2,,"Beijing Shengshi","北京省市",Shengshi,1949,2005,,,1,"中華人民共和國",,,,,,,,
3,,"Tianjin Shengshi","天津省市",Shengshi,1949,2005,,,1,"中華人民共和國",,,,,,,,
4,,"Hebei Sheng","河北省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
5,,"Shanxi Sheng","山西省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
6,,"Neimenggu Zizhiqu","內蒙古自治區",Zizhiqu,1949,2005,,,1,"中華人民共和國",,,,,,,,
7,,"Liaoning Sheng","遼寧省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
8,,"Jilin Sheng","吉林省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
9,,"Heilongjiang Sheng","黑龍江省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
10,,"Shanghai Shengshi","上海省市",Shengshi,1949,2005,,,1,"中華人民共和國",,,,,,,,
11,,"Jiangsu Sheng","江蘇省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
12,,"Zhejiang Sheng","浙江省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
13,,"Anhui Sheng","安徽省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
14,,"Fujian Sheng","福建省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
15,,"Jiangxi Sheng","江西省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
16,,"Shandong Sheng","山東省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
