c_name_type_code,c_name_type_desc,c_name_type_desc_chn
-1,"[Missing Data]","[Missing Data]"
0,Unknown,"未詳"
3,"Alternate Personal Name, Previously Used Name","别名、曾用名"
4,"Courtesy name","字"
5,"Studio name, Style name","室名、別號"
6,"Posthumous Name","諡號"
7,"Birth-order name","行第"
8,"Enfeoffment Title","封爵"
9,"Childhood Name","小名"
10,"Childhood Courtesy Name","小字"
11,"Bestowed name or title","賜號"
12,"Secular surname","俗姓"
13,"Secular personal name","俗名"
14,"Temple name","廟號"
15,"Honorific name","尊號"
16,"Temple title","廟額"
17,"Other transliterated name","其他譯名"
18,"Original surname","本姓"
19,"Dharma name","法號"
