c_assoc_code,c_assoc_type_id
0,0101
1,0405
2,0405
4,0405
5,0405
7,0405
8,0405
9,0301
10,0205
11,0407
12,0407
13,0406
14,0406
15,0407
16,0407
17,0405
18,0405
19,0202
20,0202
21,0405
22,0202
23,0202
24,0404
25,0404
26,0405
27,0405
29,0407
30,0407
31,0205
32,0504
33,0504
34,0205
35,0205
36,0202
37,0202
38,0505
39,0505
40,0203
41,0203
42,0204
43,0503
44,0503
45,0504
46,0504
47,0701
48,0701
49,0202
50,0202
53,0101
54,0101
55,0406
56,0406
57,0207
58,0207
59,0407
60,0407
61,0407
64,0403
65,0404
66,0403
67,0404
68,0103
69,0103
70,0207
71,0207
72,0506
73,0506
74,0405
75,0407
76,0407
83,0407
84,0407
85,0208
86,0901
87,0901
88,0507
89,0507
94,0102
95,0301
97,0407
104,0406
105,0406
106,0407
107,0407
108,0204
113,0207
114,0510
117,0205
118,0405
119,0405
120,0205
126,0203
127,0203
128,0407
129,0407
130,0405
131,0405
132,0506
133,0506
136,0407
137,0407
138,0407
139,0407
140,0203
141,0203
142,0407
143,0407
144,0407
145,0505
146,0505
147,0505
148,0505
149,0504
150,0504
151,0502
152,0502
154,0503
155,0503
156,0407
157,0407
158,0407
159,0407
160,0502
161,0502
162,0510
163,0510
166,0505
167,0505
168,0407
172,0207
173,0207
174,0503
175,0503
180,0407
181,0407
183,0407
184,0407
185,0404
186,0404
187,0502
188,0502
189,0407
190,0407
193,0203
194,0203
195,0602
196,0602
197,0402
198,0502
199,0502
204,0407
205,0407
206,0603
207,0603
208,0203
209,0203
210,0407
211,0407
213,0206
214,0206
217,0203
218,0203
219,1001
220,1001
223,1001
224,1001
225,0508
226,0508
227,0208
228,0208
231,0204
232,0204
235,0510
236,0510
237,0506
238,0506
239,0502
240,0502
241,0503
242,0503
243,0405
244,0405
247,0504
248,0504
249,0405
250,0405
251,0203
252,0801
253,0801
254,0407
256,0203
257,0203
258,0203
259,0203
260,0407
261,0407
262,0405
263,0405
268,0102
269,0407
270,0407
273,0405
274,0405
275,0504
276,0504
277,0301
278,0405
279,0404
280,0509
281,0405
282,0405
283,0510
284,0510
287,0405
292,0207
293,0207
294,0407
297,0508
298,0508
299,0407
300,0407
301,0206
302,0206
303,0407
304,0407
305,0405
306,0405
309,0203
310,0203
315,0301
316,0301
321,0503
322,0503
323,0203
324,0203
325,0504
326,0504
333,0504
334,0504
335,0901
336,0901
339,0103
340,0103
341,0207
342,0207
343,0603
344,0603
349,0301
350,0301
351,0406
352,0406
354,0405
355,0405
356,0402
358,0405
359,0405
361,0203
362,0203
363,0103
364,0103
365,0406
366,0404
367,0405
379,0207
380,0207
381,0603
382,0603
388,0407
389,0407
390,0510
391,0510
396,0506
397,0506
398,0507
399,0504
400,0504
403,0507
404,0602
405,0503
406,0503
407,0503
408,0503
409,0503
410,0503
411,0503
412,0503
413,0504
414,0504
415,0504
416,0504
417,0504
418,0504
419,0504
420,0504
421,0504
422,0504
423,0505
424,0505
425,0506
426,0506
427,0502
428,0502
429,0509
430,0509
431,0509
432,0509
433,0509
434,0509
435,0509
436,0509
437,0510
438,0510
439,0504
440,0504
441,0504
442,0504
443,0502
444,0502
445,0203
446,1001
447,1001
448,1001
449,1001
450,1001
451,1001
452,1001
453,1001
454,1001
455,1001
456,0203
457,0203
458,0502
459,0502
460,0901
461,0901
462,0503
463,0503
464,0405
465,0504
466,0504
467,0203
468,0203
469,0504
470,0504
471,0407
472,0407
473,0207
474,0207
475,0207
476,0207
477,0701
478,0701
479,0504
480,0504
481,0403
482,0404
483,0508
484,0508
485,0101
486,0101
487,0203
488,0203
489,0103
490,0103
491,0407
492,0407
493,0405
494,0405
495,0403
496,0404
497,0502
498,0502
499,0206
500,0206
501,0103
502,0103
503,0103
504,0103
505,0103
506,0103
507,0101
508,0101
509,0103
510,0103
511,0103
512,0103
513,0407
514,0407
515,0407
516,0407
517,0503
518,0503
519,0403
520,0404
521,0603
522,0603
523,0504
524,0504
525,0504
526,0504
527,0301
528,0301
529,0507
530,0507
531,0504
532,0504
533,0103
534,0103
535,0103
536,0103
537,0504
538,0504
539,0405
540,0405
541,0206
542,0206
543,0503
544,0503
545,0503
546,0503
547,0503
548,0503
549,0901
550,0901
551,0406
552,0406
553,0401
554,0401
555,0301
556,0505
557,0505
558,0202
559,0202
560,0502
561,0502
562,0101
563,0101
564,0901
565,0901
566,0901
567,0901
568,0901
569,0901
570,0901
571,0901
572,0207
573,0207
574,0101
575,0101
576,0207
577,0207
578,0504
579,0504
580,0504
581,0504
582,0602
583,0602
584,0603
585,0603
586,0403
587,0404
