c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
10722,13,15,19,,18,,,,,,,,,"出處：全元文，第30冊 P408-410。",load,20170419,,
10724,301,3441,19,,18,,,,,,,,,"出處：全元文，第30冊 P395-397。",load,20170419,,
27852,397,3885,0,,18,,,,,,,,,"出處：全元文，第25冊 P420。直學",load,20170419,,
28415,22,43,20,,,,,,,,,9599,14004,"元代釋大訢28415居杭州報國寺",,,,
28415,67,128,20,,,,,,,,,9599,14004,"元代釋大訢28415居大龍翔集慶寺",,,,
28415,343,764,20,,,,,,,,,9599,14004,"元代釋大訢28415居湖州烏囘寺",,,,
30358,21,27,20,,,,,,,,,9599,14248,"元代釋善住30358居居吳郡報恩 寺; Temple ID 138777 Location: 府城隅; Founding: 吴孙权吴夫人舍宅; Other: 吴通元寺，唐名开元寺，吴越今名今称北寺",,,,
33451,386,835,20,,,,,,,,,9599,18859,"元代茅氏33451居居大都永明 尼寺",,,,
34425,322,681,20,,,,,,,,,9599,14154,"元代釋宗泐34425居京師天界寺",,,,
35299,111,187,20,,,,,,,,,9599,13974,"元代釋英35299居陽山福嚴精舍",,,,
35367,242,463,20,,,,,,,,,9599,14296,"元代釋圓至35367居建昌能仁寺",,,,
35484,429,915,20,,,,,,,,,9599,14002,"元代釋大圭35484居居泉州紫雲 寺",,,,
53031,219,433,20,,,,,,,,,9599,14012,"元代釋子溫53031居杭州西湖瑪瑙寺; Temple ID 139456 Location: 錢塘縣葛嶺; Founding: 石晋开运三年钱氏（玛瑙院）; Other: 宋治平二年改宝胜寺",,,,
53291,86,157,20,,,,,,,,,9599,14133,"元代釋妙源53291居紹興定水院",,,,
53317,134,220,20,,,,,,,,,9599,14171,"元代釋法明53317居鎮江鶴林寺; Temple ID 139337 Location: 丹徒縣黃鶴山; Founding: 晋大兴四年; Other: 宋代今名",,,,
53506,113,194,20,,,,,,,,,9599,14233,"元代釋清珙53506居嘉興當湖之福源寺",,,,
53568,21,26,20,,,,,,,,,9599,14217,"元代釋從倫53568居大都報恩寺",,,,
101222,43,75,20,,,,,,,,,9599,1060,"元代王志謹101222居居汴梁朝元 宮",,,,
102368,366,805,20,,,,,,,,,9599,2352,"元代吳大亨102368居華亭縣玄元道院",,,,
102593,77,139,20,,,,,,,,,9599,2598,"元代呂虛夷102593居居象山大瀛 海道院",,,,
107318,72,133,19,,18,,,,,,,,,"出處：全元文，第30冊 P308-309，P400。",load,20170419,,
107318,133,3599,19,,18,,,,,,,,,"出處：全元文，第30冊 P308-309，P400。原文“和靜書院”中“靜”應為“靖”的筆誤。",load,20170419,,
107637,90,163,19,,18,,,,,,,,,"出處：全元文，第30冊 P362-364，P405。",load,20170419,,
110437,114,195,20,,,,,,,,,9599,11123,"元代趙110437居後居甘州山寺",,,,
113031,47,85,20,,,,,,,,,9599,13970,"元代釋定113031居崇恩寺",,,,
113031,155,265,20,,,,,,,,,9599,13970,"元代釋定113031居中慶路覺照寺",,,,
113032,361,800,20,,,,,,,,,9599,13971,"元代釋宜113032居天台佛隴山修禪寺",,,,
113033,118,199,20,,,,,,,,,9599,13972,"元代釋尚113033居杭州高麗寺",,,,
113035,162,277,20,,,,,,,,,9599,13975,"元代釋茂113035居天童之景德寺",,,,
113035,264,524,20,,,,,,,,,9599,13975,"元代釋茂113035居明州瑞雲山清涼寺",,,,
113037,63,124,20,,,,,,,,,9599,13977,"元代釋益113037居大洪濟寺",,,,
113038,395,854,20,,,,,,,,,9599,13978,"元代釋益113038居奉化岳林寺",,,,
113054,254,503,20,,,,,,,,,9599,13994,"元代釋了性113054居五臺山普寧寺",,,,
113056,153,262,20,,,,,,,,,9599,13996,"元代釋了萬113056居永嘉江心寺; Temple ID 139562 Location: 永嘉縣孤嶼山; Founding: 唐咸通中",,,,
113058,75,137,20,,,,,,,,,9599,13998,"元代釋力金113058居南京大天界寺",,,,
113058,278,605,20,,,,,,,,,9599,13998,"元代釋力金113058居瑞光寺; Temple ID 139051 Location: 吳縣盤六內; Founding: 吴赤鸟中，性康; Other: 初名普济院，宋代今名康熙四十二年乾隆二十七年巡幸",,,,
113058,326,689,20,,,,,,,,,9599,13998,"元代釋力金113058居嘉興天寧寺",,,,
113059,281,609,20,,,,,,,,,9599,13999,"元代釋于慶113059居元氏縣三聖院",,,,
113060,161,274,20,,,,,,,,,9599,14000,"元代釋士璋113060居旌德教寺",,,,
113060,275,602,20,,,,,,,,,9599,14000,"元代釋士璋113060居棲真教寺",,,,
113060,346,767,20,,,,,,,,,9599,14000,"元代釋士璋113060居杭之顯慈集慶教寺",,,,
113061,26,49,20,,,,,,,,,9599,14001,"元代釋大同113061居會稽之景德寺,寶林寺",,,,
113061,162,276,20,,,,,,,,,9599,14001,"元代釋大同113061居會稽之景德寺,寶林寺",,,,
113065,368,807,20,,,,,,,,,9599,14007,"元代釋大證113065居四明雪竇寺",,,,
113066,30,61,20,,,,,,,,,9599,14008,"元代釋子文113066居慶元路寶雲寺",,,,
113067,74,135,20,,,,,,,,,9599,14009,"元代釋子安113067居大都大慶壽寺",,,,
113068,138,225,20,,,,,,,,,9599,14010,"元代釋子成113068居渭南洪福寺",,,,
113070,353,780,20,,,,,,,,,9599,14013,"元代釋子廣113070居大聖山孝思禪院",,,,
113073,292,631,20,,,,,,,,,9599,14017,"元代釋允才113073居嘉興石佛寺",,,,
113075,3,4,20,,,,,,,,,9599,14019,"元代釋允清113075居衢州子湖安國禪寺",,,,
113075,358,797,20,,,,,,,,,9599,14019,"元代釋允清113075居信州玉山興教禪寺",,,,
113077,376,821,20,,,,,,,,,9599,14021,"元代釋元旭113077居四明延壽寺",,,,
113079,290,619,20,,,,,,,,,9599,14023,"元代釋元長113079居義烏伏龍山聖壽寺",,,,
113082,99,172,20,,,,,,,,,9599,14026,"元代釋元湛113082居黃巖州法輪院",,,,
113086,41,73,20,,,,,,,,,9599,14031,"元代釋元瀞113086居長慶寺",,,,
113086,332,727,20,,,,,,,,,9599,14031,"元代釋元瀞113086居天衣萬壽寺",,,,
113089,107,183,20,,,,,,,,,9599,14034,"元代釋天倫113089居定海縣佛巖寺",,,,
113090,389,838,20,,,,,,,,,9599,14035,"元代釋文才113090居五臺山祐國寺",,,,
113091,110,186,20,,,,,,,,,9599,14036,"元代釋文侃113091居安陽三泉福勝院",,,,
113092,373,813,20,,,,,,,,,9599,14037,"元代釋文信113092居耀州延昌寺",,,,
113093,23,46,20,,,,,,,,,9599,14038,"元代釋文信113093居石湖寶華禪寺",,,,
113095,130,214,20,,,,,,,,,9599,14040,"元代釋文煥113095居居臨川海雲 精舍",,,,
113096,329,724,20,,,,,,,,,9599,14041,"元代釋文靜113096居山陰天章寺; Temple ID 139518 Location: 山陰縣蘭渚山; Founding: 宋代; Other: 兰亭旧地",,,,
113097,139,233,20,,,,,,,,,9599,14042,"元代釋文謙113097居台州鴻福寺",,,,
