c_choronym_code,c_choronym_desc,c_choronym_chn
0,[Unknown],"【未詳】"
1,Anding,"安定"
2,Chenliu,"陳留"
3,Qiantang,"錢塘"
4,Qinghe,"清河"
6,Fanyang,"范陽"
7,Peiguo,"沛國"
8,Henei,"河內"
9,Hongnong,"弘農"
10,Runan,"汝南"
11,Xingyang,"滎陽"
12,Gaoping,"高平"
13,Lean,"樂安"
14,Luguo,"魯國"
15,Longxi,"隴西"
16,Nanyang,"南陽"
17,Pengcheng,"彭城"
18,"Song Taizu","宋太祖"
19,"Song Taizong","宋太宗"
20,Taiyuan,"太原"
21,Waiqi,"外戚[刪]"
22,Weiwang,"魏王"
23,Wujun,"吳郡"
24,Wuxing,"吳興"
25,Wugong,"武功"
26,Wuyue,"吳越"
27,Yuzhang,"豫章"
28,Zhaojun,"趙郡"
29,Jingzhao,"京兆"
30,Fufeng,"扶風"
31,Dongping,"東平"
32,Dongyang,"東陽"
33,Wuwei,"武威"
34,Hedong,"河東"
36,Zhongshan,"中山"
37,Fengyi,"馮翊"
38,Guangling,"廣陵"
39,Langye,"琅琊"
41,Pingyang,"平陽"
42,Bohai,"渤海"
43,Tianshui,"天水"
45,Yingchuan,"穎川"
46,Xihe,"西河"
47,Qiaoguo,"譙國"
48,Henan,"河南"
49,Jijun,"汲郡"
51,Hejian,"河間"
53,Guangping,"廣平"
55,Wuchang,"武昌"
57,Puyang,"濮陽"
58,Julu,"鉅鹿"
59,Shiping,"始平"
61,Jiyang,"濟陽"
62,Shejun,"歙郡"
63,Boling,"博陵"
64,Donghai,"東海"
65,Beidi,"北地"
66,Gaoyang,"高陽"
67,"Nanlai Wu","南來吳"
69,Changsha,"長沙"
70,Lanling,"蘭陵"
71,"Nan Lanling","南蘭陵"
72,Shixing,"始興"
73,Beihai,"北海"
74,Jiujiang,"九江"
75,Weijun,"魏郡"
76,Pingyuan,"平原"
77,Beiping,"北平"
78,Arab,"大食"
79,"Qizhou Man","溪州蠻"
80,Yanjun,"燕郡"
81,"Zhaojun (xizu)","趙郡西"
82,Kuaiji,"會稽"
83,Xinan,"信安"
84,Jiangxia,"江夏"
85,Guantao,"館陶"
86,Shanggu,"上谷"
87,Danyang,"丹陽"
88,Yanguan,
89,"Li Ling Descent","李陵祖"
90,"Shatuo Turks","沙托突"
91,"Pengcheng Liu","彭城劉"
92,Changli,"昌黎"
93,Jinchang,"晉昌"
94,"Kings of Shu","蜀王"
95,Yichun,"宜春"
96,"Hedong (beizu)","河東北"
97,"Hedong (nanzu)","河東南"
98,"Hedong (xizu)","河東西"
99,Huayin,"華陰"
100,Shujun,"蜀郡"
101,"Longxi (Danyang)","龍西丹"
104,Fuchun,"富春"
105,Xinyang,"尋陽"
106,Guzang,"姑臧"
108,"Eunuch adoption","宦人後"
109,"Zhongshan (Xinchang)","中山"
110,Zhongshan(Jinggong),"中山"
111,Zhongshan(Ludao),"中山履"
112,Hanzhong,"漢中"
113,"Uighur aristocracy","雍古"
114,"Yinchuan Tang(2)",
115,"Nanhua (Caozhou)","南華曹"
117,Shanjun,"陝郡"
118,Yingzhou,
119,Korean,"高麗"
120,Vietnam,"越南"
121,Huihui,"回回"
122,"Mongol Tribe","蒙古族"
123,Tangut,"唐兀氏"
124,Toba,"拓跋"
125,Asu,"阿速氏"
126,Jurchen,"女直"
127,"Khitan Imperial Clan","契丹宗"
128,"Ming Imperial Clan","明帝族"
129,Pingchang,"平昌"
130,"Former Wei Imperial","前魏帝"
131,"Weiwu Uighur","畏吾兒"
132,Man,"蠻"
133,European,"西洋人"
134,Yangcheng,"陽城"
135,"Qinghe (nanzu)","清河南"
136,Jiegu,"羯古"
137,Lucheng,"鹿城"
138,"Zhaojun (dongzu)","趙郡東"
139,Wuyi,"武邑"
140,Liyang,"溧陽"
141,Xianbei,"鮮卑"
142,Xiping,"西平"
143,Xijuan,"西眷"
144,Xima,"洗馬"
145,Dongjuan,"東眷"
146,Zhongjuan,"中眷"
147,Xiangyang,"襄陽"
148,Changle,"昌樂"
149,"Qinghe (Qingzhou)","清河青"
150,Daibei,"代北"
151,Turk,"突厥"
152,Liaodong,"遼東"
153,Yangping,"陽平"
154,Dunhuang,"燉煌"
155,Wuwan,"烏丸"
156,"Xingyang (beizu)","滎陽北"
157,"Xingyang (nanzu)","滎陽南"
158,Helu,"合魯"
159,Qishui,"漆水"
160,Shangdang,"上黨"
161,Chenjun,"陳郡"
162,Xinye,"新野"
163,Neihuang,"內黃"
164,Shunyang,"順陽"
165,Jincheng,"金城"
166,Zhangye,"張掖"
167,Hexi,"河西"
168,Yuelang,"樂浪"
169,Yanmen,"雁門"
170,Shangjun,"上郡"
171,Annan,"安南"
172,Chengyang,"城陽"
173,Changle,"長樂"
174,Lujiang,"廬江"
175,Pinglu,"平盧"
176,Dingxiang,"定襄"
177,Qingyuan,"清源"
178,"Xin'an","新安"
179,Xianyang,"咸陽"
180,Wuling,"武陵"
181,Wucheng,"武成"
182,Dunqiu,"頓丘"
183,Jinyang,"晉陽"
