ID,TableName
1,ALTNAME_CODES
2,ASSOC_CODE_TYPE_REL
3,ASSOC_CODES
4,ASSOC_TYPES
5,ASSUME_OFFICE_CODES
6,BIOG_ADDR_CODES
7,BIOG_INST_CODES
8,BIOG_INST_DATA
9,CHORONYM_CODES
10,COUNTRY_CODES
11,DATABASE_LINK_CODES
12,DATABASE_LINK_DATA
13,DYNASTIES
14,ENTRY_CODE_TYPE_REL
15,ENTRY_TYPES
16,ETHNICITY_TRIBE_CODES
17,EVENT_CODES
18,EXTANT_CODES
19,GANZHI_CODES
20,KIN_Mourning
21,KIN_MOURNING_STEPS
22,LITERARYGENRE_CODES
23,MEASURE_CODES
24,NIAN_HAO
25,OCCASION_CODES
26,OFFICE_CATEGORIES
27,OFFICE_CODE_TYPE_REL
31,OFFICE_TYPE_TREE
32,PARENTAL_STATUS_CODES
33,POSSESSION_ACT_CODES
34,SCHOLARLYTOPIC_CODES
35,SOCIAL_INSTITUTION_ADDR_TYPES
36,SOCIAL_INSTITUTION_CODES
37,SOCIAL_INSTITUTION_NAME_CODES
38,SOCIAL_INSTITUTION_TYPES
39,STATUS_CODE_TYPE_REL
40,STATUS_TYPES
41,TEXT_BIBLCAT_CODE_TYPE_REL
42,TEXT_BIBLCAT_CODES
43,TEXT_BIBLCAT_TYPES
45,TEXT_TYPE
46,YEAR_RANGE_CODES
