c_person_id,c_db_id,c_db_sys_id
256,2,1801
268,2,1842
602,2,3784
1187,2,3790
1721,2,3794
2136,2,1307
3036,2,2791
3037,2,2787
3042,2,2774
3130,2,1752
3257,2,3786
3316,2,645
3332,2,3320
3409,2,2995
3480,2,1180
3551,2,1415
3605,2,2534
3608,2,2183
3685,2,2157
3702,2,672
3703,2,673
3789,2,1719
3840,2,1647
3915,2,1107
3927,2,1108
4139,2,292
7047,2,2186
7116,2,3812
8012,2,1870
8041,2,2110
8064,2,3811
8075,2,1262
8152,2,238
10097,1,9801
10099,2,2011
10397,2,649
10556,2,3693
10649,2,826
10650,2,859
10665,2,1128
10879,1,8973
11102,2,2996
11199,2,2129
11200,2,2145
11201,2,2147
11366,2,2817
11522,2,201
11524,2,906
11605,2,1089
11745,2,2740
11746,2,2736
11765,2,3590
11858,2,1706
12236,2,2830
12237,2,2842
12259,2,3019
12260,2,3014
12261,2,3023
12262,2,3006
12265,2,3018
12269,2,3020
12312,2,1281
12419,2,1854
12626,2,2029
12853,2,3738
12855,2,3739
12941,2,1546
13059,2,1359
13060,2,1146
13065,2,1340
13103,2,2784
13575,2,1952
13624,2,695
13628,2,1185
13629,2,1279
13752,2,1754
13789,2,1780
13882,2,1257
14342,2,2627
14430,2,1463
14696,2,2783
14697,2,2789
15129,2,841
15132,2,923
15159,2,1326
15161,2,1441
15353,2,2679
16113,2,2631
16134,2,3288
16275,2,2790
16450,2,2685
16604,2,777
16743,2,2121
17000,2,2180
17029,2,429
17136,2,2383
17137,2,2381
17191,2,418
17267,2,1276
17667,2,2193
17868,2,2949
18228,1,10404
18318,2,2406
18386,2,711
18420,2,963
18527,2,3031
18636,2,1003
18640,2,986
18768,2,3697
18835,2,2514
19201,2,644
19241,2,1277
19243,2,1169
19244,2,1366
19247,2,1303
19252,2,1261
19254,2,1235
19257,2,1329
19501,2,1215
19620,2,2820
19621,2,2821
19635,2,1156
20219,2,913
20531,2,1980
20536,2,1964
20679,2,79
20702,2,2449
20748,1,11437
20876,2,1505
20877,2,1691
20878,2,1682
20879,2,1689
21194,2,1112
21629,2,3485
21630,2,3496
21750,2,2579
21751,2,2582
21971,2,165
22057,2,213
22436,2,1504
22451,2,3296
22452,2,3321
22457,2,3298
22497,2,1491
22500,2,1544
22559,2,1489
22560,2,1533
22561,2,1476
22572,2,1502
22793,2,3452
24366,2,3729
24412,2,1353
24534,1,10114
24554,1,11881
24560,1,11882
24645,2,2079
24652,2,2088
24654,2,2080
24655,2,2089
25185,2,2972
25501,2,473
26193,1,10392
26626,2,2120
26935,2,2670
27835,1,9962
27948,1,9831
27985,1,9973
28093,1,10051
28347,1,10332
28358,1,10334
28462,1,10010
28532,1,10015
28536,1,11434
28545,1,10038
28560,1,9987
28669,1,9807
28691,1,11504
28825,1,11969
28826,1,11974
29584,1,8859
29587,1,9326
29588,1,9605
29589,1,11926
29590,1,12931
29599,1,11044
29603,1,11350
29605,1,12212
29606,1,12213
29646,1,4940
29653,1,156
29653,3,4578
29699,3,100
29701,1,2934
29702,1,8767
29703,1,9176
29717,1,9464
29717,3,459
29718,1,4173
29734,1,4293
29735,1,4793
29743,3,1365
29751,1,12129
29757,1,465
29761,1,636
29766,1,9405
29767,1,9396
29772,1,641
29788,1,9977
29794,1,9273
29876,1,9394
29878,1,9395
29898,1,9286
29898,3,481
29902,1,2331
29951,1,823
29954,1,809
29990,1,7523
30009,1,2112
30048,1,2031
30071,1,12432
30080,1,143
30101,1,4943
30110,1,2995
30148,1,9838
30150,1,9840
30151,1,9841
30152,1,9774
30153,1,9775
30154,1,9777
30155,1,6322
30156,1,9793
30157,1,9800
30158,1,9772
30159,1,10910
30160,1,9773
30161,1,9776
30162,1,9762
30163,1,9543
30164,1,9537
30165,1,9541
30166,1,10961
30174,1,10895
30175,1,10907
30184,1,13114
30185,1,13134
30186,1,13148
30187,1,9452
30190,1,9262
30192,1,9514
30200,1,12705
30201,1,12732
30210,1,11791
30211,1,11793
30232,1,9412
30235,1,9008
30237,1,9400
30238,1,9386
30238,3,409
30239,1,9407
30241,1,12139
30242,1,12140
30243,1,12141
30246,2,2430
30248,1,9189
30300,2,3294
30301,1,9303
30309,1,9227
30310,2,1613
30315,1,11788
30321,1,10664
30322,1,11295
30374,1,11920
30382,1,4349
30388,2,2814
30394,2,2813
30395,2,2809
30399,1,5595
30590,1,6581
30598,1,5687
30603,1,6354
30618,1,11951
30621,1,1564
30626,1,11811
30630,3,4702
30646,1,8187
30647,1,11800
30651,1,2372
30657,1,9433
30659,1,10389
30663,1,10169
30665,1,10672
30666,1,9389
30673,1,9633
30689,1,12479
30698,1,10836
30713,1,9436
30714,1,9435
30725,1,9202
30726,1,9205
30731,1,135
30734,1,6585
30791,1,10013
30846,2,3195
30847,1,12682
30853,1,9304
30858,1,9596
30861,2,1126
30885,2,241
30886,2,1363
30936,2,3508
30938,2,3512
30943,2,3510
30974,2,2667
30975,2,1943
30976,2,1850
30977,2,1751
30979,2,1891
30982,2,181
31042,2,314
31044,2,344
31046,2,316
31067,2,2836
31067,3,2045
31068,2,397
31081,2,327
31082,2,349
31088,2,332
31143,2,2687
31158,2,1084
31162,2,177
31170,2,1530
31175,2,1479
31206,2,1511
31231,2,1838
31232,2,1835
31275,2,1734
31301,2,1717
31303,2,1145
31312,2,1413
31321,2,301
31322,2,1991
31358,2,3100
31367,2,3163
31368,2,3120
31369,2,3145
31407,2,1874
31413,2,1805
31421,2,275
31453,2,2937
31460,2,2632
31462,2,2633
31485,2,20
31486,2,16
31494,2,25
31498,2,17
31501,2,28
31511,2,3747
31542,2,559
31552,2,3725
31558,2,3726
31559,2,1713
31560,2,1711
31575,2,1299
31591,2,1392
31592,2,1348
31599,2,1251
31600,2,1252
31606,2,1234
31607,2,1381
31610,2,1065
31628,2,1603
31631,2,1605
31652,2,693
31661,2,2857
31667,2,2855
31671,2,2858
31682,2,950
31697,2,1659
31703,2,3096
31723,2,877
31724,2,889
31725,2,866
31726,2,907
31727,2,855
31732,2,526
31737,2,491
31808,2,2542
31843,2,3483
31847,2,3484
31884,2,3585
31906,2,3551
31907,2,3548
31935,2,3027
31938,2,3005
31957,2,3151
31958,2,3139
31959,2,3154
31999,2,3550
32001,2,3586
32004,2,518
32009,2,77
32019,2,1786
32023,2,1797
32034,2,1144
32050,2,388
32054,2,393
32060,2,3305
32085,2,324
32093,2,2445
32095,2,2467
32113,2,3060
32114,2,3131
32122,2,3306
32123,2,3316
32125,2,3103
32128,2,1305
32130,2,1481
32136,2,1042
32151,2,1043
32158,2,3796
32161,2,1347
32162,2,1196
32165,2,1220
32169,2,3022
32174,2,215
32175,2,242
32189,2,2508
32198,2,1688
32200,2,1675
32202,2,1316
32205,2,1427
32221,2,604
32225,2,603
32227,2,602
32228,2,600
32230,2,2039
32248,2,290
32272,2,334
32279,2,3122
32303,2,3165
32304,2,3088
32361,2,1755
32384,2,2384
32401,2,2977
32404,2,1087
32405,2,2644
32430,2,3659
32433,2,3655
32461,2,2529
32462,2,2541
32464,2,3657
32492,2,3189
32505,2,3190
32534,2,1246
32540,2,1170
32541,2,1600
32547,2,2915
32562,2,2099
32574,2,3274
32575,2,3010
32578,2,791
32583,2,1604
32593,2,1115
32641,2,3084
32643,2,3135
32658,2,1082
32672,2,285
32683,2,1125
32691,2,1527
32693,2,2745
32694,2,2731
32705,2,3119
32736,2,1174
32740,2,1377
32746,2,1423
32748,2,1397
32750,2,3581
32760,2,1321
32762,2,176
32776,2,1977
32785,2,2025
32814,2,585
32816,2,2074
32822,2,319
32829,2,2530
32847,2,1275
32848,2,1458
32866,2,860
32878,2,565
32879,2,566
32884,2,562
32889,2,282
32917,2,2611
32940,2,2617
32945,2,2612
32956,2,3460
32957,2,3459
32966,2,610
32980,2,609
32983,2,611
32985,2,608
32989,2,1242
33001,2,3071
33004,2,3565
33013,2,189
33026,2,3104
33062,2,2729
33076,2,3572
33077,2,3537
33083,2,22
33084,2,1451
33104,2,2601
33136,2,2466
33141,2,2484
33153,2,2276
33158,2,2337
33161,2,2263
33172,1,9350
33175,1,9318
33176,1,35
33178,1,4515
33180,1,1707
33181,1,2053
33182,1,9417
33183,1,9569
33188,1,9403
33189,1,9359
33190,1,4304
33201,2,596
33202,1,11468
33249,2,3311
