c_entry_code,c_entry_desc,c_entry_desc_chn
-1,"[Missing Data]","[Missing Data]"
0,"not available/applicable","未知"
1,"abdication of previous emperor","前帝遜位"
4,"To be Deleted: betrothal","臨時保留，待考。"
5,"promotion from clerical positions","胥吏出職"
7,purchase,"進納補官"
8,"yin privilege: Grand Sacrifice","恩蔭: 大禮蔭補"
12,"deposed previous emperor","廢前帝自立"
13,"direct appointment to painting academy","畫院待詔"
14,"imperial summons","徵辟"
15,"direct recruitment into military service","募入軍伍"
16,"To be Deleted: edict of grace","待刪除(内容多種，未知所屬，故臨時保留)。"
20,"emperor or king (dynastic founder)","開國君主"
21,enfeoffment,"封土建藩(始封)"
22,"tribute student: by grace","貢生: 恩貢"
24,"investiture as imperial concubine","冊封爲妃嬪"
26,"examination: general","科舉 (籠統)"
27,"examination: child prodigy exam","科舉制舉: 童子舉"
28,"examination: decree exams (general)","科舉: 制舉 (籠統)"
29,"examination: jinshi or zhuke (facilitated degree)","科舉: 特奏名進士、特奏名諸科 、大挑"
32,"examination: failed decree exam","科舉: 舉制科不第"
33,"examination: failed jinshi or zhuke exams","科舉: 舉進士、諸科不第"
34,"examination: fiscal intendent exam (caoshi)","科舉: 漕試舉人"
36,"examination: jinshi (general)","科舉: 進士(籠統)"
37,"examination: jinshi (eight conducts)","科舉: 進士(八行科)"
39,"examination: juren (prefect/provincial graduates)","科舉: 鄉貢舉人"
42,"examination: law (mingfa)","科舉: 明法"
43,"examination: medical","科舉: 醫科"
44,"examination: military jinshi (wuju)","科舉: 武舉進士"
46,"examination: military juren (wuju)","科舉: 武舉人"
47,"school: licentiate","學校: 生員(庠生)"
48,"examination: various subjects(zhuke) (mingjing, mingfa excluded)","科舉: 正奏名諸科(不含明經、明法)"
50,"school: degree granted to top Upper Hall students","學校: 上舍及第"
52,"xiucai (before the Song)","科舉制舉: 秀才(宋及以前)"
54,"examination or school: degree granted by grace","科舉學校: 恩賜出身、特賜出身等"
57,"granted honorific title (b/c advanced age, righteous conducts, literary talents, etc.)","以耆行等賜爵"
59,"yin privilege: on death of","恩蔭: 遺表蔭補"
60,"yin privilege: on retirement of","恩蔭: 致仕蔭補"
62,"yin privilege: when relative killed for dynastic cause","恩蔭: 死事蔭補"
64,"rank or office by inheritance","世襲"
69,"investiture as empress","冊封爲皇后"
70,"investiture as heir apparent","立儲"
72,"other affinal relations with imperial family","其他與皇室聯姻關係"
73,"marriage to imperial princess","尚宗女 = 駙馬"
74,"grace given to imperial clan","宗子該恩"
77,"military merit: military service or distinction in battle","軍員轉補"
78,"school: military university degree","學校: 武學博士"
80,"office because returned to allegiance","歸明歸正補官"
83,"office granted for literary or artistic skill","以文學、文藝補官"
90,"religion: ordination as monk","得度"
91,"military merit: organizing a militia and other merits","軍功補官"
92,"personal declaration","割據自立"
94,"honorific title based on merit of relative","封贈"
96,"7 specials: presentation of writings to the throne","上書獻頌"
101,recommendation,"薦舉 (保任)"
105,"repealed independence of local regime and swore allegience to new dynasty","納土授官"
107,"employed as secretary","辟爲幕僚"
109,"tribute student: general","貢生 = 貢監生(籠統)"
110,"Imperial Academy student: general","監生(籠統)"
111,"tribute student: annual routine","貢生: 歲貢"
112,succession,"繼位"
113,"succession through assassination","弑君自立"
114,"surrender when dynasty changes","易代變節"
116,"specialized techniques (fangji)","以方技進"
118,"yin privilege: general","恩蔭(籠統)"
124,"examination: jinshi (from Imperial Academy graduates)","科舉: 國子監進士"
130,"examination: literary exams","科舉: 詞科"
132,"7 specials: general","雜色補授 (籠統)"
135,"promotion from irregular status officials in Guangnan","攝官轉正"
137,"office (not degree) granted by special grace","特賜補官、准赦文除授等"
138,"yin privilege: on Emperor's birthday","恩蔭: 聖節蔭補"
139,"military merit: general","軍功補授(籠統)"
140,"military merit: recruitment from demobilized military men","揀汰軍人補授"
141,"military merit: recruitment of rebels who returned to allegiance","招降補官"
142,"military merit: recruitment from baojia leaders","保甲補官"
143,"military merit: recognition of unofficial appointment","借補入官"
144,"7 specials: son-in-law of imperial clansmen (who once passed the juren exam)","宗室女夫曾得解者"
