c_entry_code,c_entry_type
0,00
1,01
4,99
5,90
7,12
8,06
12,01
13,10
14,07
15,07
16,99
20,01
21,90
22,0503
24,01
26,0401
27,0402
28,0403
29,0401
32,15
33,15
34,0401
36,0401
37,0401
39,0401
42,0401
43,0402
44,0401
46,0401
47,0501
48,0401
50,0501
52,0403
54,13
57,13
59,06
60,06
62,06
64,02
69,01
70,01
72,03
73,03
74,02
77,09
78,0501
80,11
83,10
90,14
91,09
92,01
94,13
96,16
96,90
101,08
105,11
107,07
109,0503
110,0502
111,0503
112,01
113,01
114,11
116,10
118,06
124,0401
130,0401
132,16
132,90
135,90
137,13
138,06
139,09
140,09
141,09
142,09
143,09
144,03
144,16
145,03
145,16
146,03
146,16
147,16
147,90
149,16
149,90
150,16
150,90
152,0503
153,0503
154,0503
155,0503
156,0502
157,0502
158,0502
159,0502
160,0503
161,0401
162,14
163,06
164,90
165,0401
166,10
168,0401
169,0502
170,0401
171,0501
172,0501
173,0501
174,0402
175,0503
176,0503
177,0503
178,0401
179,0402
180,0501
182,0503
183,0502
184,0501
186,0402
187,0402
188,0401
189,0501
191,0501
192,0501
193,0501
196,0501
197,0502
198,0502
199,0503
212,0501
213,0501
216,0501
217,0501
219,0404
220,0404
221,0404
222,0402
226,0403
227,0403
228,0403
229,0404
230,0403
231,0403
232,0404
233,0403
234,0403
235,0403
236,0403
237,0403
238,0403
239,0403
240,0404
241,0403
242,0403
243,0403
244,0403
245,0403
246,0403
247,0403
248,0403
249,0403
250,0403
251,0403
252,0401
253,0401
254,0401
255,0401
256,0403
257,0403
258,0403
259,0403
260,0403
261,0403
262,0403
263,0403
264,0403
265,0403
266,0403
267,0401
268,0403
269,0403
270,0403
271,0403
272,0403
273,0403
274,0403
275,0403
276,0403
277,0403
278,0403
279,0403
280,0403
281,0403
282,0403
283,0403
284,0403
285,0403
286,0403
287,0403
288,0403
289,0403
290,0403
291,0403
292,0403
293,0403
294,0403
295,0403
296,0403
297,0403
298,0403
299,0403
300,0403
301,0403
302,0403
303,0403
304,0403
305,0403
306,0403
307,0403
308,0403
309,0403
