c_textid,c_personid,c_name,c_lastname,c_firstname,c_name_chn,c_addr_id,c_genre_code,c_female,c_floruit,c_birthyear,c_deathyear,c_death_age
2066,0,"Tao Cheng",Tao,"Cheng,",,7850,3,N,1732,0,0,0
2095,0,"Qufou Shifan xue yuan lishi xi","Qufou Shifan","xue yuan lishi xi,",,0,0,N,1912,0,0,0
2126,0,Qosiqui,Qosiqui,,"忽思慧",0,0,N,1331,0,0,0
2141,0,"Gao Cheng",Gao,"Cheng,","高承",11028,0,N,1080,0,0,0
2306,0,"Yong Heng",Yong,"Heng,","永享",0,0,N,1175,0,0,0
2326,0,"Cha Duo",Cha,"Duo,","查鐸",0,0,N,1643,0,0,0
2329,0,"Zhai Hao",Zhai,Hao,"翟灝",0,0,N,1911,0,0,0
2333,0,"Chai Jie",Chai,"Jie,","柴杰",0,0,N,1911,0,0,0
2334,0,"Zhan Ruoshui",Zhan,"Ruoshui,","湛若水",0,0,N,1643,0,0,0
2446,0,"Yuqin Sirong",Yuqin,"Sirong,",,0,0,N,1294,0,0,0
2565,0,"Zhen Luan",Zhen,"Luan,","甄鸞",0,0,N,-256,0,0,0
2719,0,"Cheng Dazhong",Cheng,"Dazhong,","程大中",0,0,N,1911,0,0,0
2729,0,"Qi Dezhi",Qi,"Dezhi,","齊德之",0,0,N,1367,0,0,0
2734,0,"Jia Dao",Jia,"Dao,","檟島",0,0,N,841,0,0,0
2764,0,"Qiao Chuan",Qiao,"Chuan,","樵川",0,0,N,1195,0,0,0
2781,0,"Qian Bao",Qian,"Bao,","千寶",0,0,N,419,0,0,0
2797,0,"Le Tac,",Le,"Tac,",,0,0,N,0,0,0,0
2799,0,"Chng In-ji et al.,",Chng,"In-ji et al.,",,0,0,N,0,0,0,0
2800,0,"Kim Chong-s et al.,",Kim,"Chong-s et al.,",,0,0,N,0,0,0,0
2930,0,"Boshulu Zhong,",Boshulu,"Zhong,",,0,0,N,1368,0,0,0
2977,0,"Fu Chunguan",Fu,"Chunguan,","傅春官",7556,4,N,1911,0,0,0
2989,0,"Han Baiqian,",Han,"Baiqian,",,0,0,N,0,0,0,0
3002,0,"Hang Yu",Hang,"Yu,","杭棫",0,0,N,1911,0,0,0
3019,0,"Xizhai Jushi",Xizhai,"Jushi,","息齋居士",0,0,N,1643,0,0,0
