c_form,c_label_id,c_english,c_jianti,c_fanti
BIO,1,Female,"女?","女?"
BIO,2,"Index Year","指數年","指數年"
BIO,3,Tribe,"部、族","部、族"
BIO,4,"現有紀錄姓名","現有紀錄姓名","現有紀錄姓名"
BIO,5,"Full Name","Full Name","Full Name"
BIO,6,Pages,"頁碼/條目","頁碼/條目"
BIO,7,Notes,"注","注"
BIO,8,Born,"生年","生年"
BIO,9,Y/M/D,"年/月/日","年/月/日"
BIO,10,Intercalary,"閏","閏"
BIO,11,"Day (Stem/branch)","日(干支)","日(干支)"
BIO,12,Range,"生年時限","生年時限"
BIO,13,Died,"卒年","卒年"
BIO,14,Y/M/D,"年/月/日","年/月/日"
BIO,15,Intercalary,"閏","閏"
BIO,16,"Day (Stem/branch)","日(干支)","日(干支)"
BIO,17,Range,"卒年時限","卒年時限"
BIO,18,"Age at Death","享年","享年"
BIO,19,Range,"享年範圍","享年範圍"
BIO,20,"Active from","在世始年","在世始年"
BIO,21,Year,"年","年"
BIO,22,Notes:,"在世始年注","在世始年注"
BIO,23,"Active until","在世終年","在世終年"
BIO,24,Year,"年","年"
BIO,25,Notes:,"在世終年注","在世終年注"
BIO,26,"(Opens a new form.)","打開EVENT_CODES EnterForm將允許　 閣下輸入新的事件","打開EVENT_CODES EnterForm將允許　 閣下輸入新的事件"
BIO,27,Dynasty,"朝代","朝代"
BIO,28,Search,"查詢現有紀錄","查詢現有紀錄"
BIO,29,Choronym,"郡望","郡望"
BIO,30,Ethnicity,"種族","種族"
BIO,31,Source,"出處","出處"
BIO,32,"Reign Year","生年年號","生年年號"
BIO,33,"Reign Year","卒年年號","卒年年號"
BIO,34,"Reign Year","在世始年年號","在世始年年號"
BIO,35,"Reign Year","在世終年年號","在世終年年號"
BIO,36,"Delete Person","刪除整條記錄","刪除整條記錄"
BIO,37,"Add New Person","添加新紀錄","添加新紀錄"
BIO,38,"简体",English,"简体"
BIO,39,"繁體","繁體",English
BIO,40,Help,"輸入説明","輸入説明"
BIO,41,"New Text","打開TEXTS EnterForm窗口","打開TEXTS EnterForm窗口"
BIO,42,"New Event","輸入新的事件","輸入新的事件"
BIO,43,"Birth/Death Years","生卒年","生卒年"
BIO,44,Addresses,"地址","地址"
BIO,45,"Alt. Names","別名","別名"
BIO,46,Writings,"著述","著述"
BIO,47,Entry,"入仕","入仕"
BIO,48,Events,"事件","事件"
BIO,49,Kinship,"親屬關係","親屬關係"
BIO,50,Associations,"社會關係","社會關係"
BIO,51,Possessions,"財產","財產"
BIO,52,Status,"社會區分","社會區分"
BIO,53,Postings,"職官","職官"
BROWSE,1,Search,"查詢姓名","查詢姓名"
BROWSE,2,"繁體","繁體",English
BROWSE,3,"简体",English,"简体"
LAA,1,From,"始年","始年"
LAA,2,To,"终年","終年"
LAA,3,Type,"类别","類别"
LAA,4,"Select Association","选择社会关系","選擇社會關係"
LAA,5,"Run Query","询查","詢查"
LAA,6,"Save to GIS","保存于GIS","保存于GIS"
LAA,7,"Save to Pajek","保存于Pakej","保存于Pajek"
LAA,8,"繁體","繁體",English
LAA,9,"简体",English,"简体"
LAA,10,Associations,"社会关系","社會關係"
LAA,11,People,"社会关系的人","社會關係的人"
LAAP,1,From,"始年","始年"
LAAP,2,To,"终年","終年"
LAAP,3,"Allow 1-node Intermediaries","包括距离一人","包括距離一人"
LAAP,4,"Allow 2-node Intermediaries","包括距离二人","包括距離二人"
LAAP,5,"Include Node-node relations","包括所有的中間关系","包括所有的中間關係"
LAAP,6,"Include Kinship relations","包括親属关系","包括親屬關係"
LAAP,7,"Select First Person","选择第一人","選擇第一人"
LAAP,8,"Select Second Person","选择第二人","選擇第二人"
LAAP,9,"Run Query","询查","詢查"
LAAP,10,"Save to GIS","保存于GIS","保存于GIS"
LAAP,11,"Save to Pajek","保存于Pakej","保存于Pajek"
LAAP,12,"繁體","繁體",English
LAAP,13,"简体",English,"简体"
LAAP,14,Associations,"社会关系","社會關係"
LAAP,15,People,"社会关系的人","社會關係的人"
LAE,1,From,"始年","始年"
LAE,2,To,"终年","終年"
LAE,3,Type,"类别","類别"
LAE,4,"Pick Entry","选择入仕法","選擇入仕法"
LAE,5,"Run Query","询查","詢查"
LAE,6,"Save to GIS","保存于GIS","保存于GIS"
LAE,7,"Save to GIS (GBK)","保存于GIS (GBK)","保存于GIS (GBK)"
LAE,8,"繁體","繁體",English
LAE,9,"简体",English,"简体"
LAE,10,Exit,"退出","退出"
LAN,1,"Select Person","选择人名","選擇人名"
LAN,2,"All People","所有人物","所有人物"
LAN,3,"Select Place","选择地名","選擇地名"
LAN,4,"All Places","所有地名","所有地名"
LAN,5,From:,"始年:","始年:"
LAN,6,To:,"終年:","終年:"
LAN,7,"Max Node Dist","距离限制","距離限制"
LAN,8,"Max Loop #","循环数限制","循環數限制"
LAN,9,"Include Kin","包括親属关系","包括親屬關係"
LAN,10,"Include Non-Kin","包括社会关系","包括社會關係"
LAN,11,"Include Male","包括男性","包括男性"
LAN,12,"Include Female","包括女性","包括女性"
LAN,13,"Run Query","查询","查詢"
LAN,14,"繁體","繁體",English
LAN,15,"简体",English,"简体"
LAN,16,"Select Type of Relations","选择社会关系类別","選擇社會關係類別"
LAN,17,"Social Network Relationship","社会网络","社會網絡"
LAN,18,"People Participating in the Social Network","社会关系人","社會關係人"
LAN,19,"Select All","所有类別","所有類別"
LAN,20,Friendship,"朋友","朋友"
LAN,21,Family,"家庭","家庭"
LAN,22,Religion,"宗教","宗教"
LAN,23,Finance,"财务","財務"
LAN,24,Medicine,"医疗","醫療"
LAN,25,Military,"軍事","軍事"
LAN,26,Supportive,"軍事支持","軍事支持"
LAN,27,Oppositional,"軍事对抗","軍事對抗"
LAN,28,Scholarship,"学术","學術"
LAN,29,Teacher-Student,"师生关系","師生關係"
LAN,30,"Scholarly Affiliation","学术交往","學術交往"
LAN,31,"Scholarly Topic","主题相近","主題相近"
LAN,32,"Common Membership","学术成员","學術成員"
LAN,33,"Academic Patronage","学术襄助","學術襄助"
LAN,34,"Literary / Artistic Affiliations","文学艺术交往","文學藝術交往"
LAN,35,"Intellectual Attacks","学术攻讦","學術攻訐"
LAN,36,Politics,"政治","政治"
LAN,37,"Equal Relations","官场平等关系","官場平等關係"
LAN,38,"Subordinate Relation","官场下属关系","官場下屬關係"
LAN,39,"Superior Relation","官场上司关系","官場上司關係"
LAN,40,"Supportive Association","官场奥援","官場奧援"
LAN,41,"Recommendation / Sponsorship","荐举保任","薦舉保任"
LAN,42,Opposition,"政治对抗","政治對抗"
LAN,43,Writings,"著述","著述"
LAN,44,"Commemorative Texts","记咏","記詠"
LAN,45,Epitaphs,"墓志类","墓誌類"
LAN,46,"Prefaces / Postfaces","序跋","序跋"
LAN,47,"Ritual Texts","礼仪","禮儀"
LAN,48,"Biographical Texts","传记","傳記"
LAN,49,"Explanatory Texts","论说","論說"
LAN,50,"Admonitory Texts","箴铭类","箴銘類"
LAN,51,Correspondences,"书札","書札"
LAN,52,"Texts for Social Occasions","应酬著作","應酬著作"
LAN,53,"Save to UCINet","保存: UCINet","保存: UCINet"
LAN,54,"Save to Pajek","保存: Pajek","保存: Pajek"
LAN,55,"Save to Pajek (漢字)","保存: Pajek (漢字)","保存: Pajek (漢字)"
LAN,56,"Save to GIS","保存: GIS","保存: GIS"
LAN,57,"Save to GUESS","保存: GUESS","保存: GUESS"
LAN,58,Exit,"退出","退出"
LAN,59,"To save the data to the Clipboard, click on the square in the upper left corner to select all the records, then right-click on it and copy.","如果您希望将数据保存到剪贴板，请首先点击左上角的小方块以选中所有记录，然后单击鼠标右键，在弹出的快捷菜单栏中选择「复制」","如果您希望將數據保存到剪貼板，請首先點擊左上角的小方塊以選中所有記錄，然後單擊鼠標右鍵，在彈出的快捷菜單欄中選擇「複製」"
LAN,60,"Looking at Social Networks","查看社会网络","查看社會網絡"
LAN,61,"Import People","输入人名","輸入人名"
LAN,62,"Import Places","输入地名","輸入地名"
LAN,63,"Use Index Year","利用指數年","利用指數年"
LAN,64,"Aggregated Social Network","綜合多種社会关系","總合多種社會關係"
LAO,1,From,"始年","始年"
LAO,2,To,"终年","終年"
LAO,3,Type,"类别","類别"
LAO,4,"Select Office","选择官名","選擇官名"
LAO,5,"Run Query","询查","詢查"
LAO,6,"Save Offices to GIS","保存官名于GIS","保存官名于GIS"
LAO,7,"Save People to GIS","保存人名于GIS","保存人名于GIS"
LAO,8,"繁體","繁體",English
LAO,9,"简体",English,"简体"
LAO,10,"Offices Postings","官名","官名"
LAO,11,"People in Office","人名","人名"
SAN,1,Delete,"刪除別名！","刪除別名！"
SAN,2,"Add New","添加新別名","添加新別名"
SAN,3,Source,"出處","出處"
SAN,4,"Alt. Name","別名拼音","別名拼音"
SAN,5,"別名漢字","別名漢字","別名漢字"
SAN,6,"Name Type","別名類別代碼","別名類別代碼"
SAN,7,Pages,"頁碼/條目","頁碼/條目"
SAN,8,Notes,"注","注"
SEN,1,Entry,"入仕法","入仕法"
SEN,2,"Reign Year","入仕年號","入仕年號"
SEN,3,"First Posting Note:","釋褐官注","釋褐官注"
SEN,4,Kinship,"親屬關係類別","親屬關係類別"
SEN,5,"Kin Name","親戚姓名","親戚姓名"
SEN,6,Association,"社會關係類別","社會關係類別"
SEN,7,Associate,"社會關係人","社會關係人"
SEN,8,Source,"出處","出處"
SEN,9,"Add New","添加新的入仕法","添加新的入仕法"
SEN,10,Delete,"刪除入仕法！","刪除入仕法！"
SEN,11,"Seq. no.","次序","次序"
SEN,12,Year,"入仕年","入仕年"
SEN,13,Year,"年","年"
SEN,14,Range,"時限","時限"
SEN,15,"Used when entry was facilitated by another person (yin, recommendation, etc.)","Used when entry was facilitated by another person (yin, recommendation, etc.)","Used when entry was facilitated by another person (yin, recommendation, etc.)"
SEN,16,Pages,"頁碼/條目","頁碼/條目"
SEN,17,Notes,"注","注"
SEN,18,Rank,"科第名次","科第名次"
