c_ganzhi_code,c_ganzhi_chn,c_ganzhi_py
0,"[未詳]",[Unknown]
1,"甲子","jia zi"
2,"乙丑","yi chou"
3,"丙寅","bing yin"
4,"丁卯","ding mao"
5,"戊辰","wu chen"
6,"己巳","ji si"
7,"庚午","geng wu"
8,"辛未","xin wei"
9,"壬申","ren shen"
10,"癸酉","gui you"
11,"甲戌","jia xu"
12,"乙亥","yi hai"
13,"丙子","bing zi"
14,"丁丑","ding chou"
15,"戊寅","wu yin"
16,"己卯","ji mao"
17,"庚辰","geng chen"
18,"辛巳","xin si"
19,"壬午","ren wu"
20,"癸未","gui wei"
21,"甲申","jia shen"
22,"乙酉","yi you"
23,"丙戌","bing xu"
24,"丁亥","ding hai"
25,"戊子","wu zi"
26,"己丑","ji chou"
27,"庚寅","geng yin"
28,"辛卯","xin mao"
29,"壬辰","ren chen"
30,"癸巳","gui si"
31,"甲午","jia wu"
32,"乙未","yi wei"
33,"丙申","bing shen"
34,"丁酉","ding you"
35,"戊戌","wu xu"
36,"己亥","ji hai"
37,"庚子","geng zi"
38,"辛丑","xin chou"
39,"壬寅","ren yin"
40,"癸卯","gui mao"
41,"甲辰","jia chen"
42,"乙巳","yi si"
43,"丙午","bing wu"
44,"丁未","ding wei"
45,"戊申","wu shen"
46,"己酉","ji you"
47,"庚戌","geng xu"
48,"辛亥","xin hai"
49,"壬子","ren zi"
50,"癸丑","gui chou"
51,"甲寅","jia yin"
52,"乙卯","yi mao"
53,"丙辰","bing chen"
54,"丁巳","ding si"
55,"戊午","wu wu"
56,"己未","ji wei"
57,"庚申","geng shen"
58,"辛酉","xin you"
59,"壬戌","ren xu"
60,"癸亥","gui hai"
