c_kinrel,c_kinrel_alt,c_kinrel_chn,c_mourning,c_mourning_chn,c_kindist,c_kintype,c_kintype_desc,c_kintype_desc_chn,c_notes
B,brother,"兄弟",,"期年",1.1,AG,Agnates,"本宗血親",
BD,,"姪女",,"在室期年 出嫁大功",2.1,AG,Agnates,"本宗血親",
BS,,"姪",,"期年",2.1,AG,Agnates,"本宗血親",
BSD,,"姪孫女",,"在室小功 出嫁緦麻",3.1,AG,Agnates,"本宗血親",
BSS,,"姪孫",,"小功",3.1,AG,Agnates,"本宗血親",
BSSD,,"姪曾孫女",,"在室緦麻 出嫁無服",4.1,AG,Agnates,"本宗血親",
BSSS,,"曾姪孫",,"緦麻",4.1,AG,Agnates,"本宗血親",
BSSSW,,"曾姪孫婦",,"無服",,AF,Affines,"本宗姻親",
BSSW,,"姪孫婦",,"緦麻",,AF,Affines,"本宗姻親",
BSW,,"姪婦",,"大功",,AF,Affines,"本宗姻親",
BW,"brother's wife","兄弟妻",,"小功",,AF,Affines,"本宗姻親",
D,daughter,"女",,"期年",1.1,AG,Agnates,"本宗血親",
DD,,"外孫女",,"緦麻",,W,"Patrilateral Kin of Wife","妻服",
DH,"daughter's husband","女婿",,"緦麻",,W,"Patrilateral Kin of Wife","妻服",
DS,,"外孫",,"緦麻",,W,"Patrilateral Kin of Wife","妻服",
DSD,,"女之孫女",,"無服",,W,"Patrilateral Kin of Wife","妻服",
DSS,,"女之孫",,"無服",,W,"Patrilateral Kin of Wife","妻服",
DSW,,"外孫婦",,"緦麻",,W,"Patrilateral Kin of Wife","妻服","This is included in the Wai fu tu (外服圖) of Yuan dian zhang (元典章), but not in the legal codes of Ming and Qing. "
F,,"父",,"斬衰三年",,AG,Agnates,"本宗血親",
FB,,"伯叔父",,"期年",,AG,Agnates,"本宗血親",
FBD,,"堂姊妹",,"在室大功 出嫁小功",,AG,Agnates,"本宗血親",
FBS,,"堂兄弟",,"大功",,AG,Agnates,"本宗血親",
FBSD,,"堂姪女",,"在室小功 出嫁緦麻",,AG,Agnates,"本宗血親",
FBSS,,"堂姪",,"小功",,AG,Agnates,"本宗血親",
FBSSD,,"堂姪孫女",,"在室緦麻 出嫁無服",,AG,Agnates,"本宗血親",
FBSSS,,"堂姪孫",,"緦麻",,AG,Agnates,"本宗血親",
FBSSSW,,"堂姪孫婦",,"無服",,AF,Affines,"本宗姻親",
FBSSW,,"堂姪婦",,"緦麻",,AF,Affines,"本宗姻親",
FBSW,,"堂兄弟妻",,"緦麻",,AF,Affines,"本宗姻親",
FBW,,"伯叔母",,"期年",,AF,Affines,"本宗姻親",
FF,grandfather,"祖父",,"齊衰不杖期",,AG,Agnates,"本宗血親",
FFB,,"伯叔祖父",,"小功",,AG,Agnates,"本宗血親",
FFBD,,"堂姑",,"在室小功 出嫁緦麻",,AG,Agnates,"本宗血親",
FFBS,,"堂伯叔父",,"小功",,AG,Agnates,"本宗血親",
FFBSD,,"再從姊妹",,"在室小功 出嫁緦麻",,AG,Agnates,"本宗血親",
FFBSS,,"再從兄弟",,"緦麻",,AG,Agnates,"本宗血親",
FFBSSD,,"再從姪女",,"在室緦麻 出嫁無服",,AG,Agnates,"本宗血親",
FFBSSS,,"再從姪",,"緦麻",,AG,Agnates,"本宗血親",
FFBSSSW,,"再從姪婦",,"無服",,AF,Affines,"本宗姻親",
FFBSSW,,"再從兄弟妻",,"無服",,AF,Affines,"本宗姻親",
FFBSW,,"堂伯叔母",,"小功",,AF,Affines,"本宗姻親",
FFBW,,"伯叔祖母",,"小功",,AF,Affines,"本宗姻親",
FFF,great-grandfather,"曾祖",,"齊衰五月",,AG,Agnates,"本宗血親",
FFFB,,"曾伯叔祖父",,"緦麻",,AG,Agnates,"本宗血親",
FFFBD,,"族祖姑",,"在室緦麻 出嫁無服",,AG,Agnates,"本宗血親",
FFFBS,,"族伯叔父",,"緦麻",,AG,Agnates,"本宗血親",
FFFBSD,,"族姑",,"在室緦麻 出嫁無服",,AG,Agnates,"本宗血親",
FFFBSS,,"族伯叔祖父",,"緦麻",,AG,Agnates,"本宗血親",
FFFBSSD,,"族姊妹",,"在室緦麻 出嫁無服",,AG,Agnates,"本宗血親",
FFFBSSS,,"族兄弟",,"緦麻",,AG,Agnates,"本宗血親",
FFFBSSSW,,"族兄弟妻",,"無服",,AF,Affines,"本宗姻親",
FFFBSSW,,"族伯叔祖母",,"緦麻",,AF,Affines,"本宗姻親",
FFFBSW,,"族伯叔母",,"緦麻",,AF,Affines,"本宗姻親",
FFFBW,,"曾伯叔祖母",,"緦麻",,AF,Affines,"本宗姻親",
FFFF,,"高祖",,"齊衰三月",,AG,Agnates,"本宗血親",
FFFM,,"高祖母",,"齊衰三月",,AF,Affines,"本宗姻親",
FFFZ,,"曾祖姑",,"在室緦麻 出嫁無服",,AG,Agnates,"本宗血親",
FFM,,"曾祖母",,"齊衰五月",,AF,Affines,"本宗姻親",
FFZ,,"祖姑",,"在室小功 出嫁緦麻",,AG,Agnates,"本宗血親",
FM,grandmother,"祖母",,"齊衰不杖期",,AF,Affines,"本宗姻親",
FZ,,"姑",,"在室期年 出嫁大功",,AG,Agnates,"本宗血親",
FZS,,"姑之子",,"緦麻",,M,"Matrilateral Kin","外服",
FZSS,,"姑之孫",,"無服",,M,"Matrilateral Kin","外服",
H,husband,"夫",,"斬衰三年",,H,"Patrilateral Kin of Husband","夫族",
HB,,"夫兄弟",,"小功",,H,"Patrilateral Kin of Husband","夫族",
HBD,,"夫姪女",,"在室期年 出嫁大功",,H,"Patrilateral Kin of Husband","夫族",
HBS,,"夫姪",,"期年",,H,"Patrilateral Kin of Husband","夫族",
HBSD,,"夫姪孫女",,"在室小功 出嫁緦麻",,H,"Patrilateral Kin of Husband","夫族",
HBSS,,"夫姪孫",,"小功",,H,"Patrilateral Kin of Husband","夫族",
HBSSD,,"夫姪曾孫女",,"在室緦麻 出嫁無服",,H,"Patrilateral Kin of Husband","夫族",
HBSSS,,"夫曾姪孫",,"緦麻",,H,"Patrilateral Kin of Husband","夫族",
HBSSSW,,"夫曾姪孫婦",,"無服",,H,"Patrilateral Kin of Husband","夫族",
HBSSW,,"夫姪孫婦",,"緦麻",,H,"Patrilateral Kin of Husband","夫族",
HBSW,,"夫姪婦",,"大功",,H,"Patrilateral Kin of Husband","夫族",
HBW,,"夫兄弟妻",,"小功",,H,"Patrilateral Kin of Husband","夫族",
HF,,"舅",,"斬衰三年",,H,"Patrilateral Kin of Husband","夫族",
HFB,,"夫伯叔父",,"大功",,H,"Patrilateral Kin of Husband","夫族",
HFBD,,"夫堂姊妹",,"緦麻",,H,"Patrilateral Kin of Husband","夫族",
HFBS,,"夫堂兄弟",,"緦麻",,H,"Patrilateral Kin of Husband","夫族",
HFBSD,,"夫堂姪女",,"在室小功 出嫁緦麻",,H,"Patrilateral Kin of Husband","夫族",
HFBSS,,"夫堂姪",,"小功",,H,"Patrilateral Kin of Husband","夫族",
HFBSSD,,"夫堂姪孫女",,"在室緦麻 出嫁無服",,H,"Patrilateral Kin of Husband","夫族",
HFBSSS,,"夫堂姪孫",,"緦麻",,H,"Patrilateral Kin of Husband","夫族",
