c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
0,0,0,0,0,0,0,0,0
3,011070600,15060106,15,6,1,6,0,0
7,011030500,15030105,15,3,1,5,0,0
8,011030500,15030105,15,3,1,5,0,0
9,011030500,15030105,15,3,1,5,0,0
10,011030500,15030105,15,3,1,5,0,0
11,011030500,15030105,15,3,1,5,0,0
12,011040714,1503020714,15,3,2,7,14,0
16,011030500,15030105,15,3,1,5,0,0
19,011030500,15030105,15,3,1,5,0,0
21,011030500,15030105,15,3,1,5,0,0
23,011070200,15060102,15,6,1,2,0,0
25,011070200,15060102,15,6,1,2,0,0
27,011040306,1503020306,15,3,2,3,6,0
28,011040306,1503020306,15,3,2,3,6,0
31,011061100,150511,15,5,11,0,0,0
33,011030500,15030105,15,3,1,5,0,0
36,011030500,15030105,15,3,1,5,0,0
37,011040302,1503020302,15,3,2,3,2,0
39,011040302,1503020302,15,3,2,3,2,0
40,011030500,15030105,15,3,1,5,0,0
41,9999,1599,15,99,0,0,0,0
43,011040713,1503020713,15,3,2,7,13,0
44,011040713,1503020713,15,3,2,7,13,0
48,011040712,1503020712,15,3,2,7,12,0
51,011030500,15030105,15,3,1,5,0,0
53,011070200,15060102,15,6,1,2,0,0
54,011020500,150205,15,2,5,0,0,0
54,011040101,1503020101,15,3,2,1,1,0
59,011030500,15030105,15,3,1,5,0,0
69,011030500,15030105,15,3,1,5,0,0
70,011030500,15030105,15,3,1,5,0,0
71,011070500,15060105,15,6,1,5,0,0
77,011040103,1503020103,15,3,2,1,3,0
79,011070200,15060102,15,6,1,2,0,0
81,011030400,15030104,15,3,1,4,0,0
82,011020300,150203,15,2,3,0,0,0
85,011040708,1503020708,15,3,2,7,8,0
89,011040709,1503020709,15,3,2,7,9,0
91,011020300,150203,15,2,3,0,0,0
92,011040103,1503020103,15,3,2,1,3,0
94,011070800,15060108,15,6,1,8,0,0
95,011040708,1503020708,15,3,2,7,8,0
96,011031100,15030111,15,3,1,11,0,0
99,011070500,15060105,15,6,1,5,0,0
100,011040708,1503020708,15,3,2,7,8,0
105,011030500,15030105,15,3,1,5,0,0
106,011030500,15030105,15,3,1,5,0,0
107,011030400,15030104,15,3,1,4,0,0
108,011030500,15030105,15,3,1,5,0,0
111,011030500,15030105,15,3,1,5,0,0
113,011030500,15030105,15,3,1,5,0,0
115,011030500,15030105,15,3,1,5,0,0
117,011030500,15030105,15,3,1,5,0,0
120,011020200,150202,15,2,2,0,0,0
122,011030500,15030105,15,3,1,5,0,0
123,011030400,15030104,15,3,1,4,0,0
124,011080200,15060202,15,6,2,2,0,0
125,011030500,15030105,15,3,1,5,0,0
126,011070200,15060102,15,6,1,2,0,0
127,011070200,15060102,15,6,1,2,0,0
128,011070200,15060102,15,6,1,2,0,0
129,011020500,150205,15,2,5,0,0,0
129,011040102,1503020102,15,3,2,1,2,0
134,011070900,15060109,15,6,1,9,0,0
136,9999,1599,15,99,0,0,0,0
137,011040305,1503020305,15,3,2,3,5,0
138,011040500,15030205,15,3,2,5,0,0
141,011040304,1503020304,15,3,2,3,4,0
142,011040304,1503020304,15,3,2,3,4,0
143,011030400,15030104,15,3,1,4,0,0
144,011060500,150505,15,5,5,0,0,0
146,9999,1599,15,99,0,0,0,0
147,9999,1599,15,99,0,0,0,0
148,011080100,15060201,15,6,2,1,0,0
148,011080200,15060202,15,6,2,2,0,0
149,011020500,150205,15,2,5,0,0,0
151,011040302,1503020302,15,3,2,3,2,0
152,011070300,15060103,15,6,1,3,0,0
153,011040800,15030208,15,3,2,8,0,0
154,011030300,15030103,15,3,1,3,0,0
155,011090101,15070101,15,7,1,1,0,0
156,011090201,15070201,15,7,2,1,0,0
157,011090201,15070201,15,7,2,1,0,0
158,011090101,15070101,15,7,1,1,0,0
159,011090201,15070201,15,7,2,1,0,0
160,011090201,15070201,15,7,2,1,0,0
161,011090101,15070101,15,7,1,1,0,0
162,011090201,15070201,15,7,2,1,0,0
163,011090201,15070201,15,7,2,1,0,0
164,011090101,15070101,15,7,1,1,0,0
165,011090201,15070201,15,7,2,1,0,0
166,011090201,15070201,15,7,2,1,0,0
167,011090101,15070101,15,7,1,1,0,0
168,011090201,15070201,15,7,2,1,0,0
169,011090201,15070201,15,7,2,1,0,0
170,011090101,15070101,15,7,1,1,0,0
171,011090201,15070201,15,7,2,1,0,0
172,011090201,15070201,15,7,2,1,0,0
173,011090201,15070201,15,7,2,1,0,0
174,011090201,15070201,15,7,2,1,0,0
175,011090201,15070201,15,7,2,1,0,0
176,9999,1599,15,99,0,0,0,0
177,011090101,15070101,15,7,1,1,0,0
178,011090201,15070201,15,7,2,1,0,0
179,011090201,15070201,15,7,2,1,0,0
180,011090101,15070101,15,7,1,1,0,0
181,011090201,15070201,15,7,2,1,0,0
182,011090201,15070201,15,7,2,1,0,0
183,011090101,15070101,15,7,1,1,0,0
184,011090201,15070201,15,7,2,1,0,0
185,011090201,15070201,15,7,2,1,0,0
186,011090101,15070101,15,7,1,1,0,0
187,9999,1599,15,99,0,0,0,0
190,9999,1599,15,99,0,0,0,0
194,011031300,15030113,15,3,1,13,0,0
195,011040400,15030204,15,3,2,4,0,0
196,011040710,1503020710,15,3,2,7,10,0
197,011090301,15070301,15,7,3,1,0,0
199,011090203,15070203,15,7,2,3,0,0
200,011090203,15070203,15,7,2,3,0,0
201,9999,1599,15,99,0,0,0,0
204,9999,1599,15,99,0,0,0,0
208,011040706,1503020706,15,3,2,7,6,0
209,011040706,1503020706,15,3,2,7,6,0
211,011040100,15030201,15,3,2,1,0,0
212,011090305,15070305,15,7,3,5,0,0
214,9999,1599,15,99,0,0,0,0
215,011040702,1503020702,15,3,2,7,2,0
217,9999,1599,15,99,0,0,0,0
219,011090101,15070101,15,7,1,1,0,0
220,011040101,1503020101,15,3,2,1,1,0
221,011040101,1503020101,15,3,2,1,1,0
222,011040101,1503020101,15,3,2,1,1,0
223,011090203,15070203,15,7,2,3,0,0
224,011090305,15070305,15,7,3,5,0,0
225,011040800,15030208,15,3,2,8,0,0
226,011090305,15070305,15,7,3,5,0,0
227,011040600,15030206,15,3,2,6,0,0
228,011040600,15030206,15,3,2,6,0,0
229,011040600,15030206,15,3,2,6,0,0
230,011040600,15030206,15,3,2,6,0,0
231,011040800,15030208,15,3,2,8,0,0
