c_place_id,c_place_1990,c_name,c_name_chn,x_coord,y_coord
1.0,622726,Zhuanglang,"莊浪",106.08952,35.2723
2.0,142627,"Gu Xian","古縣",111.99494,36.30663
3.0,342800,"Anqing Diqu","安慶地區",0.0,0.0
4.0,410601,"Hebi Shixiaqu","鶴壁市轄區",114.16939,35.89719
5.0,220181,"Jiutai Shi","九台市",125.98629,44.17519
6.0,220182,"Yushu Shi","榆樹市",126.59368,44.86653
7.0,220201,"Jilin Shixiaqu","吉林市轄區",126.59561,43.85299
8.0,220221,Yongji,"永吉",126.10846,43.76714
9.0,220222,Shulan,"舒蘭",127.11024,44.26247
10.0,220223,Panshi,"磐石",126.18962,43.02359
11.0,220281,"Jiaohe Shi","蛟河市",127.35391,43.64183
12.0,220282,"Huadian Shi","樺甸市",127.02323,42.99521
13.0,220621,Fusong,"撫松",127.58824,42.24083
14.0,220622,Jingyu,"靖宇",126.91275,42.42918
15.0,222403,"Dunhua Shi","敦化市",128.36995,43.59182
16.0,230181,"Acheng Shi","阿城市",127.20583,45.58092
17.0,232102,"Shangzhi Shi","尚志市",128.25352,45.01666
18.0,232122,"Bin Xian","賓縣",127.66044,45.7522
19.0,232125,Wuchang,"五常",127.45059,44.71696
20.0,232127,Mulan,"木蘭",127.95442,46.2251
21.0,232131,Yanshou,"延壽",128.51247,45.42673
22.0,230101,"Ha`erbin Shixiaqu","哈爾濱市轄區",126.60253,45.69688
23.0,230781,"Tieli Shi","鐵力市",128.54729,46.92983
24.0,232126,Bayan,"巴彥",127.24912,46.26381
25.0,232128,Tonghe,"通河",128.82341,46.21473
26.0,232130,Fangzheng,"方正",128.93316,45.83284
27.0,232301,"Suihua Shi","綏化市",126.92845,46.69078
28.0,232302,"Anda Shi","安達市",125.40419,46.50521
29.0,232304,"Hailun Shi","海倫市",127.02116,47.38348
30.0,232324,Wangkui,"望奎",126.61868,46.80422
31.0,232326,Qinggang,"青岡",125.88696,46.77322
32.0,232330,Qing`an,"慶安",127.61316,47.01343
33.0,232331,Mingshui,"明水",125.90454,47.17491
34.0,232332,Suileng,"綏楞",127.68579,47.52593
35.0,210423,"Qingyuan Manzu Zizhixian","清原滿族自治縣",124.93148,42.1247
36.0,211282,"Kaiyuan Shi","開原市",124.29783,42.48434
37.0,222303,"Fuyu Shi","扶餘市",125.4476,45.12747
38.0,222304,"Da`an Shi","大安市",123.78142,45.32964
39.0,222324,"Qianguo`erluosi Menggu Zizhixian","前郭爾羅斯蒙古族自治縣",124.45534,44.87414
40.0,222328,Qian`an,"乾安",123.91436,44.93264
41.0,230121,Hulan,"呼蘭",126.7489,46.10621
42.0,230224,Tailai,"泰來",123.52444,46.65206
43.0,230226,"Du`erbaite Menggu Zizhixian","杜爾伯特蒙古族自治縣",124.25518,46.48922
44.0,230228,Lindian,"林甸",124.85755,47.12285
45.0,230601,"Daqing Shixiaqu","大慶市轄區",124.76179,46.38166
46.0,232101,"Shuangcheng Shi","雙城市",126.23274,45.4013
47.0,232303,"Zhaodong Shi","肇東市",125.87501,45.93136
48.0,232325,Lanxi,"蘭西",126.1916,46.31788
49.0,232328,Zhaoyuan,"肇源",124.88747,45.66768
50.0,232329,Zhaozhou,"肇州",125.29349,45.8806
51.0,220101,"Changchun Shixiaqu","長春市轄區",125.33227,43.73722
52.0,220122,Nong`an,"農安",125.17698,44.40607
53.0,220124,Dehui,"德惠",125.85772,44.44602
54.0,220125,Shuangyang,"雙陽",125.75632,43.5817
55.0,220381,"Gongzhuling Shi","公主嶺市",124.67185,43.6489
56.0,230201,"Qiqiha`er Shixiaqu","齊齊哈爾市轄區",123.93767,47.40607
57.0,230221,Longjiang,"龍江",123.03264,47.17997
58.0,230222,Nehe,"諾河",125.18474,48.43037
59.0,230223,Yi`an,"依安",125.29245,47.65522
60.0,230225,Gannan,"甘南",123.72647,48.03562
61.0,230227,Fuyu,"富裕",124.53029,47.65202
62.0,230229,Keshan,"克山",125.68646,48.18444
63.0,230230,Kedong,"克東",126.37929,47.97172
64.0,230231,Baiquan,"拜泉",126.07459,47.5708
65.0,230701,"Yichun Shixiaqu","伊春市轄區",129.06314,47.75017
66.0,232601,"Heihe Shi","黑河市",126.81712,50.15324
67.0,232602,"Bei`an Shi","北安市",127.12744,47.95706
68.0,232603,"Wudalianchi Shi","五大連池市",126.25919,48.70304
69.0,232622,Nenjiang,"嫩江",125.81554,49.84734
70.0,232623,Dedu,"德都",126.69098,48.70646
71.0,232625,Xunke,"遜克",128.50427,48.79171
72.0,232626,Sunwu,"孫吳",127.37455,49.30096
73.0,232721,Huma,"呼瑪",124.86176,51.86542
74.0,232722,Tahe,"塔河",124.62909,52.70494
75.0,232723,Mohe,"漠河",122.77047,52.87239
76.0,232724,Jiagedaqi,"加格達奇",0.0,0.0
77.0,232725,Songling,"松岭",0.0,0.0
78.0,232726,Xinlin,"新林",0.0,0.0
79.0,232727,Huzhong,"呼中",0.0,0.0
80.0,220623,"Changbai Chaoxian Zizhixian","長白朝鮮族自治縣",127.79445,41.57361
81.0,222401,"Yanji Shi","延吉市",129.50039,42.93797
82.0,222402,"Tumen Shi","圖門市",129.79149,42.93403
83.0,222404,"Hunchun Shi","琿春市",130.6277,42.93074
84.0,222405,"Longjing Shi","龍井市",129.39226,42.85098
85.0,222423,Helong,"和龍",128.92764,42.43976
86.0,222424,Wangqing,"汪清",130.01669,43.53942
87.0,222426,Antu,"安圖",128.51785,42.65158
88.0,700121,Jungpyung,"定平",0.0,0.0
89.0,700122,Ejoo,"義州",0.0,0.0
90.0,230301,"Jixi Shixiaqu","雞西市轄區",130.77727,45.19125
91.0,230321,Jidong,"雞東",131.21892,45.23671
92.0,230827,Baoqing,"寶清",132.4162,46.31029
93.0,230832,Raohe,"饒河",133.76168,46.99565
94.0,230901,"Qitaihe Shixiaqu","七台河市轄區",131.57504,45.87727
95.0,231021,Ning`an,"寧安",129.25758,43.95483
96.0,231024,Dongning,"東寧",130.85689,44.08668
97.0,231027,Hulin,"虎林",133.08734,45.96498
98.0,231081,"Suifenhe Shi","綏芬河市",131.12221,44.39164
99.0,231082,"Mishan Shi","密山市",132.23713,45.43291
100.0,210824,"Gai Xian","蓋縣",122.44181,40.24055
101.0,230501,"Shuangyashan Shixiaqu","雙鴨山市轄區",131.32005,46.5272
102.0,230401,"Hegang Shixiaqu","鶴崗市轄區",130.21428,47.65301
103.0,230421,Luobei,"蘿北",130.89526,47.74504
104.0,230422,Suibin,"綏賓",131.87137,47.43575
105.0,230521,Jixian,"集賢",131.18924,46.79223
106.0,230722,Jiayin,"嘉蔭",130.01086,48.75644
107.0,230801,"Jiamusi Shixiaqu","佳木斯市轄區",130.26501,46.62378
108.0,230822,Hua`nan,"樺南",130.63364,46.24666
109.0,230823,Yilan,"依蘭",129.75372,46.21982
110.0,230826,Huachuan,"樺川",130.71317,46.85408
111.0,230828,Tangyuan,"湯原",130.27137,46.89799
112.0,230833,Fuyuan,"撫遠",134.28039,47.86949
113.0,230834,Youyi,"友誼",131.87985,46.71215
114.0,230881,"Tongjiang Shi","同江市",133.24954,47.81753
115.0,230882,"Fujin Shi","富錦市",132.48795,47.1574
116.0,230921,Boli,"勃利",130.90171,45.92127
117.0,231001,"Mudanjiang Shixiaqu","牧丹江市轄區",129.63984,44.5426
118.0,231022,Hailin,"海林",129.11976,44.8786
119.0,231023,Muling,"穆棱",130.39521,44.44093
120.0,231025,Linkou,"林口",130.06305,45.29445
121.0,211223,Xifeng,"西豐",124.72354,42.72818
122.0,211281,"Tiefa Shi","鐵法市",123.60594,42.43955
123.0,211201,"Tieling Shixiaqu","鐵嶺市轄區",123.87618,42.228
124.0,211221,Tieling,"鐵嶺",124.01588,42.25619
125.0,211224,Changtu,"昌圖",124.00724,42.998
126.0,220322,Lishu,"梨樹",124.33927,43.27327
127.0,220323,"Yitong Manzu Zizhixian","伊通滿族自治縣",125.32427,43.32766
128.0,220301,"Siping Shixiaqu","四平市轄區",124.44011,43.06637
129.0,210301,"Anshan Shixiaqu","鞍山市轄區",123.05926,41.05293
130.0,210501,"Benxi Shixiaqu","本溪市轄區",123.81148,41.26854
131.0,211001,"Liaoyang Shixiaqu","遼陽市轄區",123.2224,41.22444
132.0,211021,Liaoyang,"遼陽",123.37352,40.9913
133.0,210122,Liaozhong,"遼中",122.80465,41.4592
134.0,210321,Tai`an,"台安",122.43346,41.27634
135.0,210521,"Benxi Manzu Zizhixian","本溪滿族自治縣",124.18936,41.17362
136.0,211022,Dengta,"燈塔",123.29161,41.37579
137.0,210381,"Haicheng Shi","海城市",122.75131,40.80454
138.0,210801,"Yingkou Shixiaqu","營口市轄區",122.31902,40.59371
139.0,210101,"Shenyang Shixiaqu","瀋陽市轄區",123.42652,41.80515
140.0,210121,Xinmin,"新民",122.88789,41.99303
