c_inst_name_code,c_inst_code,c_inst_addr_type_code,c_inst_addr_begin_year,c_inst_addr_end_year,c_inst_addr_id,inst_xcoord,inst_ycoord,c_source,c_pages,c_notes
156,3600,1,1300,,17554,117.044,30.568,38282,51,"多个出處:中國古代的書院制度P51;中國書院制度考略P21."
157,268,1,,,18354,0.0,0.0,9599,14144,"元代釋戒度113197居居餘姚極樂 寺"
157,269,1,,,7946,0.0,0.0,27842,43,"Temple ID 139691 Location: 上猶縣北不路村; Founding: 唐代; Other: 一名梅峰寺"
158,270,1,,,200008,0.0,0.0,9599,14313,"元代釋壽寧113358居上海靜安寺; Temple ID 139310 Location: 上海縣滬瀆上; Other: 旧重丹寺，宋大中祥符中今名"
159,271,1,,,18267,0.0,0.0,9599,14084,"元代釋夷簡113139居杭州淨慈寺; Temple ID 139437 Location: 錢塘縣南屏山; Founding: 吴越时; Other: 初名慧日永明院，南宋时代遭火、复兴，康熙三十八今名"
159,272,1,,,7908,0.0,0.0,27842,106,"Temple ID 139665 Location: 高安縣西南; Other: 宋刘焕故里"
160,273,1,,,18316,0.0,0.0,9599,14237,"元代釋紹大113284居建德路烏龍山景德禪寺"
161,274,1,,,18385,0.0,0.0,9599,14000,"元代釋士璋113060居旌德教寺"
162,275,1,,,17365,0.0,0.0,9599,14332,"元代釋廣鑄113377居當陽景德寺"
162,276,1,,,18349,0.0,0.0,9599,14001,"元代釋大同113061居會稽之景德寺,寶林寺"
162,277,1,,,0,0.0,0.0,9599,13975,"元代釋茂113035居天童之景德寺"
162,278,1,,,7544,0.0,0.0,27842,52,"Temple ID 138850 Location: 昆山縣治通德坊; Founding: 晋代; Other: 晋王珉舍宅，初名宝寺，景德二年今名"
162,279,1,,,7745,0.0,0.0,27842,52,"Temple ID 138851 Location: 宣城縣治北陵場三峰; Founding: 晋代; Other: 晋名永安，唐名开元，黄檗居此"
162,280,1,,,7874,0.0,0.0,27842,52,"Temple ID 139595 Location: 上饒縣南; Founding: 宋景德中; Other: 康熙中重修"
162,281,1,,,7889,0.0,0.0,27842,53,"Temple ID 139624 Location: 府治東; Other: 旧名景云，唐白居易记录"
162,282,1,,,7931,0.0,0.0,27842,53,"Temple ID 139682 Location: 府成內; Founding: 刘宋时; Other: 旧名安天寺，万化中府学，嘉靖中复为寺"
163,283,1,,,18373,0.0,0.0,9599,14127,"元代釋妙用113181居景德院"
164,284,1,,,17571,0.0,0.0,9599,14190,"元代釋英辯113241居泰州景福寺"
164,285,1,,,7697,0.0,0.0,27842,53,"Temple ID 138853 Location: 無為州治西; Founding: 唐贞观中"
164,286,1,,,7440,0.0,0.0,27842,53,"Temple ID 138854 Location: 永濟縣南; Other: 明神宗御书额"
165,287,1,,,0,0.0,0.0,9599,14345,"元代釋慧定113390居淨 居寺"
165,288,1,,,8181,0.0,0.0,27842,105,"Temple ID 138304 Location: 光山縣凈居山; Founding: 唐神龙中"
165,289,1,,,7892,0.0,0.0,27842,105,"Temple ID 139627 Location: 新城縣城內東山; Founding: 唐代; Other: 宋治平初今地改建"
165,290,1,,,8269,0.0,0.0,27842,105,"Temple ID 139800 Location: 枝江縣東"
165,291,1,,,8780,0.0,0.0,27842,105,"Temple ID 140010 Location: 廣安州東; Founding: 元至元中"
166,292,1,,,18267,0.0,0.0,9599,14130,"元代釋妙高113184居杭州徑山寺"
167,293,1,,,18339,0.0,0.0,9599,14266,"元代釋普仁113312居金華西峯淨土禪寺"
168,294,1,,,16788,0.0,0.0,9599,14328,"元代釋廣恩113373居臨清淨土寺"
168,295,1,,,8192,0.0,0.0,27842,106,"Temple ID 138303 Location: 巩縣東北; Founding: 后魏景明中; Other: 一名石窟寺，亦名石佛寺，唐宋题咏多"
