c_inst_name_code,c_inst_code,c_inst_type_code,c_inst_begin_year,c_by_nianhao_code,c_by_nianhao_year,c_by_year_range,c_inst_begin_dy,c_inst_floruit_dy,c_inst_first_known_year,c_inst_end_year,c_ey_nianhao_code,c_ey_nianhao_year,c_ey_year_range,c_inst_end_dy,c_inst_last_known_year,c_source,c_pages,c_notes
0,0,0,0,0,0,0,0,,,,,,,,,0,,
1,1,1,1250,,,2,15,18,,,,,,,,9599,5461,"from L.Walton: YR II.1317; II,1954; Lao, p.122"
1,2,1,,,,,18,18,,,,,,,,9599,6140,"from L.Walton: 大明一統志 12.8a"
1,3815,1,1226,593,1,0,78,,,,,,,,,38280,391,"多个出處:元代書院之地理分佈P391;中國古代的書院制度P30."
2,3,2,,,,,,18,,,,,,,,9599,14182,"元代釋法憶113233居雞足山安定寺"
3,4,2,,,,,,18,,,,,,,,9599,14019,"元代釋允清113075居衢州子湖安國禪寺"
4,5,1,1272,,,,15,,,,,,,,,,,"from L.Walton: 大明一統志 58.17a; Wen Tianxiang, Wenshan xiansheng wenji [SBCK ed], 18b-20a; Liu Jiangsun, Yangwu zhaiji [e-SKQS], 27.1b-2a"
5,6,2,,,,,,18,,,,,,,,9599,14317,"元代釋福海113362居泰山安靈寺"
6,7,1,,,,,18,18,,,,,,,,9599,2067,
7,8,1,,,,,18,18,,,,,,,,,,"from L.Walton: SYXA 64.9b; 大明一統志 76.9a"
8,9,1,1300,,,,18,18,,,,,,,,9599,5131,"from L.Walton: Wu Cheng, 23.30a-32b; SYXA 92.25b12"
8,3347,1,1246,554,6,2,15,,,,,,,,,38278,304,"多个出處:宋代書院與宋代學術之關係P304;江西古代書院研究P112."
9,10,1,,,,,18,18,,,,,,,,9599,4134,
10,11,1,,,,,18,18,,,,,,,,9599,12995,
11,12,2,,,,,,18,,,,,,,,9599,14367,"元代釋懷則113412居天台白蓮寺"
11,13,2,0,0,0,0,0,20,,,,,,,,27842,193,"Temple ID 140233 Location: 茂名縣東"
12,14,1,,,,,18,18,,,,,,,,9599,10873,
13,15,1,1287,,,,18,18,,,,,,,,,,"from L.Walton: Ma Tingluan, 17.10a-12a; Bailudong shuyuan zhi (various editions, 1566,1592,1622, 1910]"
14,16,1,1241,,,,15,18,,,,,,,,9599,2175,"from L.Walton: Liu Yi 劉繹 ed., Bailuzhou shuyuan zhi (1871); Liu Jiangsun, Yangwu zhaiji [e-SKQS ed.], 27.1a-b; Liu Chenweng, Xuxi ji [e-SKQS ed], 3.34b-37b"
15,17,1,1300,,,2,18,18,,,,,,,,,,"from L.Walton: Liu Yueshen, 5.25a-26b"
16,18,1,,,,,18,18,,,,,,,,9599,13063,
16,3032,1,1119,538,1,2,15,,,,,,,,,38280,373,"多个出處:元代書院之地理分佈P373;中國古代的書院制度P29."
16,3390,1,1278,623,15,2,18,,,,,,,,,,,
17,19,1,1312,,,2,18,18,,,,,,,,,,"from L.Walton: Yuan Jue, 18.5b-6b; SYXA supp 63.27a-b"
17,2978,1,1119,538,1,2,15,,,,,,,,,38278,307,
18,20,1,1275,,,2,18,,,,,,,,,,,"from L.Walton: He Menggui, 9.18b-21a; SYXA supp.70.63"
19,21,2,,,,,,18,,,,,,,,9599,14047,"元代釋世誠113102居南昌般若寺"
19,22,2,1475,0,0,2,0,20,,,,,,,,27842,194,"Temple ID 139191 Location: 五臺縣東樓觀谷; Founding: 明成化中"
19,23,2,0,0,0,0,0,20,,,,,,,,27842,194,"Temple ID 140353 Location: 雲南縣北"
20,24,2,,,,,,18,,,,,,,,9599,14067,"元代釋正珪113122居池州路報恩光孝禪寺"
20,25,2,628,0,0,0,0,20,,,,,,,,27842,220,"Temple ID 138776 Location: 當塗縣南門內; Founding: 唐贞观二年"
21,26,2,,,,,,18,,,,,,,,9599,14217,"元代釋從倫53568居大都報恩寺"
21,27,2,240,,,,,18,,,,,,,,9599,14248,"元代釋善住30358居居吳郡報恩 寺; Temple ID 138777 Location: 府城隅; Founding: 吴孙权吴夫人舍宅; Other: 吴通元寺，唐名开元寺，吴越今名今称北寺"
21,28,2,1100,0,0,2,0,20,,,,,,,,27842,219,"Temple ID 138778 Location: 山陽縣治東; Founding: 宋代; Other: 元代废，明洪武初重建"
21,29,2,627,0,0,0,0,20,,,,,,,,27842,220,"Temple ID 139551 Location: 常山縣北; Founding: 唐贞观二年; Other: 初名保安寺，明末废，康熙中重建"
21,30,2,800,0,0,2,0,20,,,,,,,,27842,220,"Temple ID 139679 Location: 府治東; Founding: 唐代; Other: 宋绍兴中今额，元废、明重建"
21,31,2,969,0,0,0,0,20,,,,,,,,27842,220,"Temple ID 139771 Location: 鐘祥縣東; Founding: 宋开宝二年"
21,32,2,525,0,0,0,0,20,,,,,,,,27842,220,"Temple ID 139785 Location: 安陸縣，隋州城內，應山縣; Founding: 梁天监中（一年）; Other: 由三寺而来"
21,33,2,1380,0,0,2,0,20,,,,,,,,27842,220,"Temple ID 139826 Location: 宣城縣，素陽縣均州; Founding: 明洪武中，宋代（三不明）; Other: 由三寺而来"
21,34,2,0,0,0,0,0,20,,,,,,,,27842,220,"Temple ID 139922 Location: 府治東; Other: 旧名天宁万寿寺，宋绍兴中今名"
21,35,2,1100,0,0,2,0,20,,,,,,,,27842,220,"Temple ID 139970 Location: 州西南芙蓉山; Founding: 宋代"
21,36,2,1090,0,0,2,0,20,,,,,,,,27842,220,"Temple ID 139996 Location: 大足縣治東; Founding: 宋元祐中"
21,37,2,0,0,0,0,0,20,,,,,,,,27842,220,"Temple ID 140081 Location: 舊州城車"
21,38,2,1132,0,0,0,0,20,,,,,,,,27842,221,"Temple ID 140175 Location: 州治東; Founding: 宋绍兴二年"
21,39,2,1265,0,0,2,0,20,,,,,,,,27842,221,"Temple ID 140258 Location: 陽朔縣治北; Founding: 宋景定中"
21,40,2,0,0,0,2,0,20,,,,,,,,27842,221,"Temple ID 140371 Location: 保山縣靈鷲山; Founding: 蒙氏时; Other: 元泰定中重建，俗称大寺"
21,41,2,0,0,0,0,0,20,,,,,,,,27842,221,"Temple ID 140446 Location: 餘慶縣南"
21,42,2,1368,0,0,2,0,20,,,,,,,,27842,221,"Temple ID 140461 Location: 天柱縣南門外; Founding: 明初; Other: 初名天平寺，后今名，一名兴宝祥林"
22,43,2,,,,,,18,,,,,,,,9599,14004,"元代釋大訢28415居杭州報國寺"
22,44,2,910,0,0,2,0,20,,,,,,,,27842,221,"Temple ID 140152 Location: 建寧縣，金鏡山; Founding: 五代梁，龙德中"
22,45,2,0,0,0,0,0,20,,,,,,,,27842,221,"Temple ID 140387 Location: 彌勤縣西"
23,46,2,,,,,,18,,,,,,,,9599,14038,"元代釋文信113093居石湖寶華禪寺"
24,47,2,,,,,,18,,,,,,,,9599,14126,"元代釋妙文113180居大都寶集寺"
25,48,2,,,,,,18,,,,,,,,9599,14237,"元代釋紹大113284居義烏雲黃山寶林禪寺"
26,49,2,,,,,,18,,,,,,,,9599,14001,"元代釋大同113061居會稽之景德寺,寶林寺"
26,50,2,,,,,,18,,,,,,,,9599,14187,"元代釋洪益113238居石龍山寶林寺"
26,51,2,1350,0,0,2,0,20,,,,,,,,27842,228,"Temple ID 138557 Location: 府城西北隅; Founding: 元至正中，丹明"
26,52,2,686,0,0,0,0,20,,,,,,,,27842,228,"Temple ID 138558 Location: 無為州西; Founding: 唐垂拱二年"
26,53,2,530,0,0,2,0,20,,,,,,,,27842,228,"Temple ID 139543 Location: 義烏縣雲黃山; Founding: 梁大通中，博大士"
26,54,2,0,0,0,0,0,20,,,,,,,,27842,228,"Temple ID 139786 Location: 應山縣北; Other: 明洪武中，正觉寺赐名"
26,55,2,1430,0,0,2,0,20,,,,,,,,27842,229,"Temple ID 139827 Location: 棗陽縣東，光化縣南; Founding: 明宣德中宋代; Other: 由二个寺而来"
27,56,2,,,,,,18,,,,,,,,9599,14352,"元代釋慧曇113397居集慶保寧寺"
27,57,2,0,0,0,0,0,20,,,,,,,,27842,213,"Temple ID 139865 Location: 瀏縣江鄉; Other: 唐长髭居此"
28,58,2,,,,,,18,,,,,,,,9599,14379,"元代釋覺慧113424居寶寧寺"
28,59,2,0,0,0,0,0,20,,,,,,,,27842,227,"Temple ID 138548 Location: 蟸縣治西南隅; Other: 明洪武中重建"
29,60,1,,,,,18,18,,,,,,,,9599,9403,"from L.Walton: SYXA:supp.bie 3.55a2"
29,3015,1,1119,538,1,2,15,,,,,,,,,38278,314,"多个出處:宋代書院與宋代學術之關係P314;元代書院之地理分佈P377;中國古代的書院制度P51;中國書院制度考略P21."
30,61,2,,,,,,18,,,,,,,,9599,14008,"元代釋子文113066居慶元路寶雲寺"
31,62,2,,,,,,18,,,,,,,,9599,14055,"元代釋可觀113110居杭州褒忠衍福寺"
