c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
0,0,0,0
1,52,1,1
1,60,2,2
2,453,1,3
3,391,1,4
4,153,1,5
5,454,1,6
6,15,1,7
7,154,1,8
8,47,1,9
9,34,1,10
10,131,1,11
11,414,1,12
11,140233,2,13
12,114,1,14
13,155,1,15
14,16,1,16
15,156,1,17
16,133,1,18
17,157,1,19
18,158,1,20
19,434,1,21
19,139191,2,22
19,140353,3,23
20,426,1,24
20,138776,2,25
21,266,1,26
21,362,2,27
21,138778,3,28
21,139551,4,29
21,139679,5,30
21,139771,6,31
21,139785,7,32
21,139826,8,33
21,139922,9,34
21,139970,10,35
21,139996,11,36
21,140081,12,37
21,140175,13,38
21,140258,14,39
21,140371,15,40
21,140446,16,41
21,140461,17,42
22,331,1,43
22,140152,2,44
22,140387,3,45
23,455,1,46
24,265,1,47
25,394,1,48
26,400,1,49
26,456,2,50
26,138557,3,51
26,138558,4,52
26,139543,5,53
26,139786,6,54
26,139827,7,55
27,421,1,56
27,139865,2,57
28,314,1,58
28,138548,2,59
29,100,1,60
30,378,1,61
31,330,1,62
32,363,1,63
33,159,1,64
34,160,1,65
35,218,1,66
35,219,2,67
36,78,1,68
37,316,1,69
38,161,1,70
39,162,1,71
40,27,1,72
41,401,1,73
42,42,1,74
43,302,1,75
44,80,1,76
45,163,1,77
46,364,1,78
46,138772,2,79
46,139402,3,80
46,139799,4,81
46,139841,5,82
46,139977,6,83
47,267,1,84
47,323,2,85
48,457,1,86
49,417,1,87
49,138626,2,88
49,138627,3,89
49,138628,4,90
49,139466,5,91
49,139701,6,92
49,139853,7,93
49,140012,8,94
49,140088,9,95
49,140105,10,96
50,372,1,97
51,268,1,98
52,301,1,99
53,164,1,100
54,109,1,101
55,101,1,102
56,14,1,103
56,57,2,104
56,82,3,105
57,141,1,106
58,7,1,107
58,55,2,108
59,332,1,109
60,291,1,110
60,138743,2,111
60,138744,3,112
60,138745,4,113
60,138746,5,114
60,139429,6,115
60,139463,7,116
60,139683,8,117
60,139847,9,118
60,139848,10,119
61,317,1,120
61,138433,2,121
61,140400,3,122
62,365,1,123
63,458,1,124
64,269,1,125
65,166,1,126
66,306,1,127
67,422,1,128
68,379,1,129
69,288,1,130
70,167,1,131
71,63,1,132
72,48,1,133
73,103,1,134
74,270,1,135
75,423,1,136
75,444,2,137
76,165,1,138
77,387,1,139
78,287,1,140
78,138405,2,141
78,138406,3,142
78,138407,4,143
78,138408,5,144
78,138409,6,145
78,138410,7,146
78,139565,8,147
78,140557,9,148
79,298,1,149
80,168,1,150
81,459,1,151
82,53,1,152
83,112,1,153
84,460,1,154
85,366,1,155
86,388,1,156
86,399,2,157
87,169,1,158
88,95,1,159
89,171,1,160
90,9,1,161
90,146,2,162
90,172,3,163
91,173,1,164
92,170,1,165
93,174,1,166
94,175,1,167
95,177,1,168
96,130,1,169
97,176,1,170
98,145,1,171
99,416,1,172
100,178,1,173
101,358,1,174
101,138936,2,175
101,139473,3,176
102,281,1,177
102,138591,2,178
103,308,1,179
104,179,1,180
105,67,1,181
106,318,1,182
107,389,1,183
108,1,1,184
109,461,1,185
110,286,1,186
111,325,1,187
112,369,1,188
112,139129,2,189
112,139130,3,190
112,139131,4,191
112,139825,5,192
112,139908,6,193
113,351,1,194
114,315,1,195
115,33,1,196
116,180,1,197
117,24,1,198
118,333,1,199
119,181,1,200
120,182,1,201
121,395,1,202
122,271,1,203
123,272,1,204
123,139728,2,205
124,380,1,206
125,184,1,207
126,89,1,208
127,13,1,209
127,185,2,210
127,186,3,211
128,183,1,212
129,359,1,213
130,436,1,214
131,90,1,215
132,187,1,216
133,21,1,217
133,38,2,218
133,108,3,219
134,375,1,220
135,188,1,221
136,189,1,222
137,441,1,223
138,307,1,224
138,313,2,225
138,138962,3,226
138,138963,4,227
138,138964,5,228
138,138965,6,229
138,138966,7,230
138,138967,8,231
138,138968,9,232
139,409,1,233
140,190,1,234
141,4,1,235
142,122,1,236
143,51,1,237
144,191,1,238
145,279,1,239
145,289,2,240
145,138322,3,241
145,138323,4,242
145,138324,5,243
145,138325,6,244
145,138326,7,245
145,138327,8,246
145,140033,9,247
145,140283,10,248
145,140454,11,249
146,17,1,250
147,463,1,251
147,138766,2,252
147,140027,3,253
148,462,1,254
148,138740,2,255
149,334,1,256
149,138763,2,257
150,192,1,258
151,464,1,259
152,99,1,260
152,193,2,261
153,407,1,262
153,408,2,263
154,465,1,264
155,320,1,265
155,140300,2,266
156,116,1,267
157,403,1,268
157,139691,2,269
158,328,1,270
159,336,1,271
159,139665,2,272
160,377,1,273
161,420,1,274
162,299,1,275
162,402,2,276
162,466,3,277
162,138850,4,278
162,138851,5,279
162,139595,6,280
162,139624,7,281
162,139682,8,282
163,418,1,283
164,303,1,284
164,138853,2,285
164,138854,3,286
165,467,1,287
165,138304,2,288
165,139627,3,289
165,139800,4,290
165,140010,5,291
166,335,1,292
167,392,1,293
168,262,1,294
168,138303,2,295
169,195,1,296
170,106,1,297
171,337,1,298
172,261,1,299
173,196,1,300
174,194,1,301
175,297,1,302
175,140466,2,303
176,98,1,304
177,424,1,305
178,11,1,306
178,92,2,307
179,404,1,308
180,296,1,309
181,5,1,310
182,431,1,311
182,433,2,312
182,448,3,313
182,138686,4,314
182,138687,5,315
182,138688,6,316
182,138689,7,317
182,138690,8,318
182,138691,9,319
182,138692,10,320
182,138693,11,321
182,138694,12,322
182,138695,13,323
182,138696,14,324
182,138697,15,325
182,138698,16,326
182,138699,17,327
182,138700,18,328
182,138701,19,329
182,138702,20,330
182,138703,21,331
182,138704,22,332
182,138705,23,333
182,138706,24,334
182,138707,25,335
182,139386,26,336
182,139502,27,337
182,139548,28,338
182,139889,29,339
182,139948,30,340
182,139972,31,341
182,140025,32,342
182,140093,33,343
182,140141,34,344
182,140155,35,345
182,140214,36,346
182,140238,37,347
182,140262,38,348
182,140508,39,349
183,22,1,350
184,126,1,351
185,74,1,352
186,97,1,353
187,197,1,354
188,198,1,355
189,468,1,356
189,138886,2,357
190,201,1,358
191,83,1,359
191,96,2,360
191,127,3,361
191,139,4,362
192,202,1,363
193,469,1,364
194,263,1,365
194,264,2,366
195,338,1,367
195,140017,2,368
196,440,1,369
197,107,1,370
198,121,1,371
199,200,1,372
200,199,1,373
201,203,1,374
202,62,1,375
203,374,1,376
203,139622,2,377
204,46,1,378
205,410,1,379
206,204,1,380
207,411,1,381
207,139355,2,382
207,139525,3,383
207,139659,4,384
207,140228,5,385
207,140382,6,386
208,129,1,387
209,205,1,388
210,405,1,389
210,139360,2,390
210,139361,3,391
210,139362,4,392
210,139363,5,393
210,139364,6,394
210,139365,7,395
210,139366,8,396
210,139367,9,397
210,139368,10,398
210,139369,11,399
210,139370,12,400
210,139371,13,401
210,139372,14,402
210,139373,15,403
210,139374,16,404
210,139375,17,405
210,139561,18,406
210,139773,19,407
210,140519,20,408
211,470,1,409
212,132,1,410
213,425,1,411
214,282,1,412
214,139346,2,413
214,139347,3,414
214,139348,4,415
214,139349,5,416
214,139350,6,417
214,139351,7,418
214,139352,8,419
214,139353,9,420
214,139354,10,421
214,139790,11,422
214,139838,12,423
214,139912,13,424
214,139913,14,425
214,140165,15,426
214,140237,16,427
215,206,1,428
216,208,1,429
217,207,1,430
218,12,1,431
218,81,2,432
219,339,1,433
219,140082,2,434
220,137,1,435
221,40,1,436
222,209,1,437
223,43,1,438
224,210,1,439
225,6,1,440
226,211,1,441
227,86,1,442
228,471,1,443
229,273,1,444
230,25,1,445
231,49,1,446
232,136,1,447
233,56,1,448
234,406,1,449
235,450,1,450
235,138339,2,451
236,212,1,452
237,104,1,453
237,213,2,454
238,59,1,455
238,214,2,456
239,28,1,457
239,215,2,458
240,10,1,459
240,216,2,460
241,66,1,461
242,371,1,462
242,438,2,463
242,472,3,464
242,139185,4,465
242,139520,5,466
242,139563,6,467
242,139620,7,468
242,139654,8,469
242,139966,9,470
242,140515,10,471
243,217,1,472
244,149,1,473
245,44,1,474
246,321,1,475
246,139090,2,476
246,139091,3,477
246,140293,4,478
247,20,1,479
248,119,1,480
249,30,1,481
250,54,1,482
251,428,1,483
251,139919,2,484
252,292,1,485
252,138833,2,486
252,138834,3,487
252,138835,4,488
252,138836,5,489
252,138837,6,490
252,139497,7,491
252,139768,8,492
252,139824,9,493
252,139969,10,494
252,140345,11,495
253,439,1,496
253,138830,2,497
253,138831,3,498
253,139450,4,499
253,139930,5,500
253,140245,6,501
253,140528,7,502
254,293,1,503
254,138822,2,504
254,138823,3,505
254,138824,4,506
254,138825,5,507
254,139602,6,508
255,473,1,509
256,220,1,510
257,373,1,511
258,376,1,512
258,138839,2,513
258,138840,3,514
258,138841,4,515
258,138842,5,516
258,138843,6,517
258,138844,7,518
259,221,1,519
260,222,1,520
261,128,1,521
262,223,1,522
263,226,1,523
264,381,1,524
264,138982,2,525
264,138983,3,526
264,138984,4,527
