c_inst_name_code,c_inst_name_hz,c_inst_name_py
0,"[未詳]",[Unknown]
1,"安定書院","Anding shuyuan"
2,"安定寺",Andingsi
3,"安國禪寺",Anguochansi
4,"安湖書院","Anhu shuyuan"
5,"安靈寺",Anlingsi
6,"鰲川書院","Aochuan shuyuan"
7,"鰲峰書院","Aofeng shuyuan"
8,"鰲溪書院","Aoxi shuyuan"
9,"鼇溪書院","Aoxi shuyuan"
10,"白鷲洲書院","Baijiuzhou shuyuan"
11,"白蓮寺",Bailiansi
12,"白鹿書院","Bailu shuyuan"
13,"白鹿洞書院","Bailudong shuyuan"
14,"白鷺洲]書院","Bailuzhou shuyuan"
15,"白沙書院","Baisha shuyuan"
16,"白社書院","Baishe shuyuan"
17,"白石書院","Baishi shuyuan"
18,"百丈溪書院","Baizhangxi shuyuan"
19,"般若寺",Boresi
20,"報恩光孝禪寺",Baoenguangxiaochansi
21,"報恩寺",Baoensi
22,"報國寺",Baoguosi
23,"寳華禪寺",Baohuachansi
24,"寳集寺",Baojisi
25,"寳林禪寺",Baolinchansi
26,"寶林寺",Baolinsi
27,"保寧寺",Baoningsi
28,"寶寧寺",Baoningsi
29,"包山書院","Baoshan shuyuan"
30,"寳雲",Baoyun
31,"褒忠衍福寺",Baozhongyanfusi
32,"北禪寺",Beichansi
33,"北山書院","Beishan shuyuan"
34,"璧里書院","Bili shuyuan"
35,"屏山書院","Bingshan shuyuan"
36,"采石書院","Caishi shuyuan"
37,"蒼山寺",Cangshansi
38,"草廬書院","Caolu shuyuan"
39,"草堂書院","Caotang shuyuan"
40,"長庚書院","Changgeng shuyuan"
41,"長慶寺",Changqingsi
42,"長薌書院","Changxiang shuyuan"
43,"朝元宮",Chaoyuangong
44,"澄江書院","Chengjiang shuyuan"
45,"城南書院","Chengnan shuyuan"
46,"承天寺",Chengtiansi
47,"崇恩寺",Chongensi
48,"崇恩演福教寺",Chongenyanfujiaosi
49,"崇福寺",Chongfusi
50,"崇福永樂寺",Chongfuyonglesi
51,"崇囯寺",Chongguosi
52,"崇寧萬壽寺",Chongningwanshousi
53,"崇聖書院","Chongsheng shuyuan"
54,"崇義書院","Chongyi shuyuan"
55,"初庵書院","Chuan shuyuan"
56,"傳貽書院","Chuanyi shuyuan"
57,"垂雲書院","Chuiyun shuyuan"
58,"慈湖書院","Cihu shuyuan"
59,"慈修護聖禪院",Cixiuhushengchanyuan
60,"慈雲寺",Ciyunsi
61,"大德寺",Dadesi
62,"大弘教寺",Dahongjiaosi
63,"大洪濟寺",Dahongjisi
64,"大護國仁王寺",Dahuguorenwangsi
65,"岱山書院","Daishan shuyuan"
66,"大開元寺",Dakaiyuansi
67,"大龍翔集慶寺",Dalongxiangjiqingsi
68,"大梅寺",Dameisi
69,"大明禪院",Damingchanyuan
70,"丹山書院","Danshan shuyuan"
71,"丹陽書院","Danyang shuyuan"
72,"道一書院","Daoyi shuyuan"
73,"道源書院","Daoyuan shuyuan"
74,"大慶壽寺",Daqingshousi
75,"大天界寺",Datianjiesi
76,"大同書院","Datong shuyuan"
77,"大瀛海道院","Dayinghai daoyuan"
78,"大雲寺",Dayunsi
79,"德藏寺",Decangsi
80,"登贏書院","Dengying shuyuan"
81,"澱山寺",Dianshansi
82,"釣臺書院","Diaotai shuyuan"
83,"疊山書院","Dieshan shuyuan"
84,"定慧禪寺",Dinghuichansi
85,"定惠寺",Dinghuisi
86,"定水院",Dingshuiyuan
87,"東庵書院","Dong'An shuyuan"
88,"東川書院","Dongchuan shuyuan"
89,"東岡書院","Dong'Gang shuyuan"
90,"東湖書院","Donghu shuyuan"
91,"東坡書院","Dongpo shuyuan"
92,"東波書院","Dongpo shuyuan"
93,"董澤書院","Dongze shuyuan"
94,"斗山書院","Doushan shuyuan"
95,"端明書院","Duanming shuyuan"
96,"獨峯書院","Dufeng shuyuan"
97,"杜洲書院","Duzhou shuyuan"
98,"二戴書院","Erdai shuyuan"
99,"法輪院",Falunyuan
100,"番江書院","Fanjiang shuyuan"
101,"法喜寺",Faxisi
102,"封崇寺",Fengchongsi
103,"奉恩寺",Fengensi
104,"封龍山書院","Fenglongshan shuyuan"
105,"鳳山書院","Fengshan shuyuan"
106,"佛嚴寺",Foyansi
107,"佛巖寺",Foyansi
108,"甫里書院","Fuli shuyuan"
109,"福林院",Fulinyuan
110,"福勝院",Fushengyuan
111,"福嚴精舍",Fuyanjingshe
112,"福嚴寺",Fuyansi
113,"福源寺",Fuyuansi
114,"甘州山寺",Ganzhoushansi
115,"高峯書院","Gaofeng shuyuan"
116,"高峰書院","Gaofeng shuyuan"
117,"高節書院","Gaojie shuyuan"
118,"高麗寺",Gaolisi
119,"共山書院","Gongshan shuyuan"
120,"緱山書院","Goushan shuyuan"
121,"廣愛寺",Guangaisi
122,"廣寒院",Guanghanyuan
123,"廣化寺",Guanghuasi
124,"廣利禪寺",Guanglichansi
125,"廣平書院","Guangping shuyuan"
126,"廣信書院","Guangxin shuyuan"
127,"龜山書院","Guishan shuyuan"
128,"古靈書院","Guling shuyuan"
129,"海門寺",Haimensi
130,"海雲精舍",Haiyunjingshe
131,"涵江書院","Hanjiang shuyuan"
