tts_sysno,c_personid,c_sequence,c_status_code,c_firstyear,c_fy_nh_code,c_fy_nh_year,c_fy_range,c_lastyear,c_ly_nh_code,c_ly_nh_year,c_ly_range,c_supplement,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
1,0,0,71,,0,,,,0,,,,7596,,,load,20101201,,
2,0,0,136,,0,,,,0,,,,0,,,BDGSX,20080623,,
3,1,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
4,1,2,34,0,0,,,0,0,,,,0,,,TTS,20070312,,
5,2,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
6,3,0,14,,0,,,,0,,,,7596,3024,,load,20101201,,
7,3,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
8,3,2,34,0,0,,,0,0,,,,0,,,TTS,20070312,,
9,4,0,9,,0,,,,0,,,,0,,,BDLYH,20080122,,
10,4,0,40,,0,,,,0,,,,0,,,BDLYH,20080122,,
11,4,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
12,5,0,40,,0,,,,0,,,,0,,,BDLYH,20080122,,
13,5,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
14,6,0,40,,0,,,,0,,,,0,,,BDGSX,20080114,,
15,6,0,52,,0,,,,0,,,,0,,,BDGSX,20080114,,
16,6,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
17,7,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
18,8,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
19,9,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
20,10,0,40,,0,,,,0,,,,0,,,BDZWZ,20080618,,
21,10,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
22,11,0,144,,0,,,,0,,,,0,,,BDZWZ,20080531,,
23,11,0,205,,0,,,,0,,,,7596,10701,,load,20101201,,
24,11,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
25,12,0,40,,0,,,,0,,,,0,,,BDLJ,20080621,,
26,12,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
27,13,0,9,,0,,,,0,,,,7596,10729,,BDZWZ,20080617,,
28,13,0,40,,0,,,,0,,,,0,,,BDZWZ,20080617,,
29,13,0,71,,0,,,,0,,,,7596,10729,,BDZWZ,20080617,,
30,13,0,114,,0,,,,0,,,,0,,,BDZWZ,20080617,,
31,13,0,263,,0,,,,0,,,,7596,10729,,load,20101201,,
32,13,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
33,14,0,165,,0,,,,0,,,,0,,,BDZWZ,20080618,,
34,14,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
35,15,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
36,16,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
37,17,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
38,18,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
39,19,0,186,,0,,,,0,,,,7596,13861,,load,20101201,,
40,19,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
41,20,0,114,,0,,,,0,,,,7596,14480,,load,20101201,,
42,20,0,192,,0,,,,0,,,,7596,14480,,load,20101201,,
43,20,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
44,21,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
45,22,1,50,1130,0,,,1130,0,,,,0,,"From Hartwell's STATUS code.",TTS,20070312,,
46,22,2,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
47,23,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
48,24,0,157,,0,,,,0,,,,7596,14200,,load,20101201,,
49,24,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
50,25,0,142,,0,,,,0,,,,7596,13580,,load,20101201,,
51,25,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
52,26,0,114,,0,,,,0,,,,7596,13956,,load,20101201,,
53,26,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
54,27,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
55,28,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
56,29,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
57,30,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
58,31,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
59,32,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
60,33,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
61,34,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
62,34,2,34,0,0,,,0,0,,,,0,,,TTS,20070312,,
63,35,1,68,0,0,,,0,0,,,,0,,,TTS,20070312,,
