c_text_cat_code,c_text_cat_type_id
0,0110000
1,0110400
2,0110205
3,0110213
4,0110213
5,0110213
6,0110215
7,0110314
8,0110210
9,0110210
10,0110302
11,0110211
13,0110213
14,0110210
15,0110210
17,0110100
18,0110101
19,0110102
20,0110103
21,0110104
22,0110104
23,0110104
24,0110104
25,0110104
26,0110105
27,0110106
28,0110106
29,0110106
30,0110106
31,0110107
32,0110107
33,0110107
34,0110107
35,0110107
36,0110108
38,0110110
39,0110111
40,0110201
41,0110203
42,0110204
43,0110202
45,0110206
46,0110207
47,0110208
48,0110209
49,0110211
50,0110211
51,0110212
52,0110213
53,0110213
54,0110214
55,0110301
56,0110302
57,0110302
58,0110303
59,0110301
60,0110301
61,0110301
62,0110301
63,0110301
64,0110305
65,0110306
66,0110307
67,0110308
68,0110309
69,0110310
70,0110311
71,0110312
72,0110313
73,0110313
74,0110313
75,0110400
76,0110400
77,0110400
78,0110400
79,0110211
80,0110211
81,0110107
82,0110109
83,0110110
84,0110110
85,0110110
86,0110110
87,0110205
88,0110205
89,0110215
90,0110215
91,0110215
92,0110215
93,0110215
94,0110215
95,0110215
96,0110215
97,0110215
98,0110215
99,0110209
100,0110209
101,0110209
102,0110209
103,0110211
104,0110211
105,0110211
106,0110211
107,0110211
108,0110211
109,0110211
110,0110211
111,0110214
112,0110214
113,0110214
114,0110214
115,0110214
116,0110214
117,0110213
118,0110213
119,0110301
120,0110301
121,0110301
122,0110301
123,0110301
124,0110303
125,0110303
126,0110302
127,0110304
128,0110304
130,0110304
131,0110304
132,0110304
133,0110304
134,0110304
135,0110304
136,0110304
137,0110304
138,0110304
139,0110210
140,0110210
141,0110210
142,0110313
