tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
1,0,3541,0,-1,-1,-1,-1,,0000000,,BDLYH,20070627,,
2,2031,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,HUWHS,20140106
3,2031,49784,0,-1,-1,-1,-1,,0000000,,load,20100825,,
4,2032,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
5,2033,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
6,2034,3200,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
7,2035,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
8,2036,217,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
9,2038,3144,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
10,2039,13924,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
11,2040,12354,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
12,2041,3502,0,-1,-1,-1,-1,,0000000,,BDGSX,20070627,,
13,2041,12354,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
14,2042,29559,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
15,2043,11658,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
16,2044,28846,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
17,2045,24925,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
18,2046,8024,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
19,2047,14680,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
20,2048,14680,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
21,2049,13534,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
22,2050,3029,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
23,2051,10258,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
24,2052,10258,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
25,2053,3050,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
26,2054,10543,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
27,2055,10585,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
28,2056,7005,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
29,2057,3075,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
30,2058,3081,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
31,2059,3075,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
32,2060,29583,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
33,2061,13807,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
34,2062,27965,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
35,2063,7007,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
36,2064,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
37,2065,29868,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
38,2066,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
39,2067,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
40,2067,54887,0,-1,-1,-1,-1,,0000000,,load,20100825,,
41,2068,10170,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
42,2069,29608,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
43,2070,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
44,2071,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
45,2072,29876,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
46,2073,16202,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
47,2074,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
48,2074,35558,0,-1,-1,-1,-1,,0000000,,load,20100825,,
49,2075,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
50,2075,65864,0,-1,-1,-1,-1,,0000000,,load,20100825,,
51,2075,65924,0,-1,-1,-1,-1,,0000000,,load,20100825,,
52,2076,29841,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
53,2077,3043,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
54,2078,3043,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
55,2079,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
56,2080,33212,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
57,2081,10185,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
58,2082,10183,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
59,2083,10183,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
60,2084,10183,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
61,2085,7196,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
62,2086,7197,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
63,2087,33210,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
64,2088,503,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
